scenario1,scenario2,kappa_value,kappa_pvalue
SSP1-2.6,SSP1-2.6,1,0
SSP1-2.6,SSP2-4.5,0.802935163435153,0
SSP1-2.6,SSP5-8.5,0.722130096283952,0
SSP1-2.6,Uninformed,0.128633927952676,0
SSP2-4.5,SSP1-2.6,0.802935163435153,0
SSP2-4.5,SSP2-4.5,1,0
SSP2-4.5,SSP5-8.5,0.733105264531104,0
SSP2-4.5,Uninformed,0.13561743472135,0
SSP5-8.5,SSP1-2.6,0.722130096283952,0
SSP5-8.5,SSP2-4.5,0.733105264531104,0
SSP5-8.5,SSP5-8.5,1,0
SSP5-8.5,Uninformed,0.16571875103052,0
Uninformed,SSP1-2.6,0.128633927952676,0
Uninformed,SSP2-4.5,0.13561743472135,0
Uninformed,SSP5-8.5,0.16571875103052,0
Uninformed,Uninformed,1,0
