sum_area,total_cost,median_velocity,median_RCE,percent_area,num_pu,target,scenario
5044431.6,39093.02776889922,0.0862746462225914,1.5148627571761608,5.92474230034151,1891,20,SSP126
6239516.4,43718.541889057495,2.38576602935791,16.204163432121277,7.328382993389103,2339,20,SSP245
7157170.800000002,45137.19690082781,13.284963607788086,81.20425939559937,8.406178525550649,2683,20,SSP585
3734640.000000001,19620.232257666066,NA,NA,4.386377165773727,1400,20,uninformed
7773386.399999999,66319.50037675025,0.07686586678028107,1.5013492200523615,9.129930757903312,2914,30,SSP126
9200552.4,71926.83815394435,2.359790325164795,16.305822134017944,10.80615346053827,3449,30,SSP245
10344952.800000004,73988.3967367243,12.934706211090088,81.54969215393066,12.150264749193225,3878,30,SSP585
5601960.000000001,32196.822289128788,NA,NA,6.579565748660589,2100,30,uninformed
10486335.6,96165.61133580329,0.07703062146902084,1.4582419767975807,12.316320456183226,3931,40,SSP126
12204270.000000002,103078.55177365337,2.328289270401001,16.32254868745804,14.334053952439142,4575,40,SSP245
13796827.200000003,105825.02584431879,12.882494926452637,82.99708962440491,16.204530500986937,5172,40,SSP585
7469280.000000001,45409.11540832091,NA,NA,8.772754331547452,2800,40,uninformed
13201952.4,130701.83487610938,0.07638636976480484,1.4506928622722626,15.505843281010119,4949,50,SSP126
15071940,137509.87285219226,2.2975205183029175,16.22558683156967,17.702164990443965,5650,50,SSP245
17246034.000000004,142103.02203081362,12.951751708984375,82.88874626159668,20.255663126233674,6465,50,SSP585
9336600.000000002,59285.833743234165,NA,NA,10.965942914434317,3500,50,uninformed
16074957.599999998,170131.60369067313,0.08039656654000282,1.4915901701897383,18.880220572108904,6026,60,SSP126
18051649.2,177118.0430415729,2.2734413146972656,16.16634428501129,21.201867343422,6767,60,SSP245
21012685.200000003,187032.5111524891,12.858712196350098,83.30853581428528,24.679637810571172,7877,60,SSP585
11203920.000000002,73801.7054996686,NA,NA,13.159131497321178,4200,60,uninformed
18974638.799999997,214153.47166161658,0.08122871816158295,1.5167038887739182,22.285929128677505,7113,70,SSP126
21354138,223896.59959183726,2.2852227687835693,16.26082956790924,25.080678008584766,8005,70,SSP245
24955398,239939.38575671427,12.899137496948242,82.9986035823822,29.31039884700943,9355,70,SSP585
13071240.000000002,89031.86009599734,NA,NA,15.352320080208042,4900,70,uninformed
21815632.799999993,265617.4605703843,0.07831762358546257,1.5717945992946625,25.622708901212512,8178,80,SSP126
25259504.4,279154.5845295051,2.292268753051758,16.34167581796646,29.66757527336529,9469,80,SSP245
29335597.2,304550.96084807627,13.016286849975586,82.88874626159668,34.454992637152614,10997,80,SSP585
14951898.000000002,104745.05102481414,NA,NA,17.56117429582981,5605,80,uninformed
24685970.399999995,326993.5095177186,0.083640947937965393,1.6072697006165981,28.99395306576432,9254,90,SSP126
29941142.4,352281.3296590904,2.299741506576538,16.605086624622345,35.166212363317356,11224,90,SSP245
34721481.599999994,391457.1075727772,13.128280639648438,82.92390406131744,40.78077513550772,13016,90,SSP585
16827220.8,121009.84728004504,NA,NA,19.763762258357616,6308,90,uninformed
27996461.999999996,480337.6106853974,0.10690182447433472,1.6431061550974846,32.88216311056803,10495,100,SSP126
35340364.8,534887.0902300933,2.3312978744506836,16.758186370134354,41.50766049440736,13248,100,SSP245
41651906.4,611618.4048967194,13.425187110900879,83.82478356361389,48.92063790456496,15614,100,SSP585
18694540.800000004,137768.4543358283,NA,NA,21.95695084124448,7008,100,uninformed
