median_RCE,median_velocity,scenario,uninformed,target
6.284298747777939,1.0051562786102295,uninformed,SSP126,20
1.5148626640439034,0.0862746462225914,SSP126,SSP126,20
22.36420065164566,3.4146496057510376,uninformed,SSP245,20
16.204163432121277,2.38576602935791,SSP245,SSP245,20
96.6163158416748,17.11566925048828,uninformed,SSP585,20
81.20425939559937,13.284963607788086,SSP585,SSP585,20
6.253182515501976,1.0475980639457703,uninformed,SSP126,30
1.5013492200523615,0.07686586678028107,SSP126,SSP126,30
22.73276299238205,3.4308847188949585,uninformed,SSP245,30
16.305822134017944,2.359790325164795,SSP245,SSP245,30
97.10770845413208,17.105764389038086,uninformed,SSP585,30
81.54969215393066,12.934706211090088,SSP585,SSP585,30
6.132401525974274,1.1000732779502869,uninformed,SSP126,40
1.4582418836653233,0.07703062146902084,SSP126,SSP126,40
22.388268262147903,3.4091222286224365,uninformed,SSP245,40
16.32254868745804,2.328289270401001,SSP245,SSP245,40
96.061310172081,17.21365451812744,uninformed,SSP585,40
82.99708962440491,12.882494926452637,SSP585,SSP585,40
6.188742630183697,1.156922996044159,uninformed,SSP126,50
1.4506928622722626,0.07638636976480484,SSP126,SSP126,50
22.0734141767025,3.4917097091674805,uninformed,SSP245,50
16.22558683156967,2.2975205183029175,SSP245,SSP245,50
95.46896815299988,17.372164726257324,uninformed,SSP585,50
82.88874626159668,12.951751708984375,SSP585,SSP585,50
6.209414266049862,1.2132218480110168,uninformed,SSP126,60
1.4915901701897383,0.08039656654000282,SSP126,SSP126,60
21.565672755241394,3.574471116065979,uninformed,SSP245,60
16.16634428501129,2.2734413146972656,SSP245,SSP245,60
95.14403641223907,17.49008846282959,uninformed,SSP585,60
83.30853581428528,12.858712196350098,SSP585,SSP585,60
6.15210197865963,1.2206284403800964,uninformed,SSP126,70
1.5167037956416607,0.08122871816158295,SSP126,SSP126,70
21.257249265909195,3.6030551195144653,uninformed,SSP245,70
16.26082956790924,2.2852227687835693,SSP245,SSP245,70
95.33245861530304,17.46785259246826,uninformed,SSP585,70
82.9986035823822,12.899137496948242,SSP585,SSP585,70
6.094849482178688,1.2114320993423462,uninformed,SSP126,80
1.57179469242692,0.07831762358546257,SSP126,SSP126,80
21.004630625247955,3.5927109718322754,uninformed,SSP245,80
16.34167581796646,2.292268753051758,SSP245,SSP245,80
95.67491412162781,17.40249252319336,uninformed,SSP585,80
82.88874626159668,13.016286849975586,SSP585,SSP585,80
6.057508289813995,1.1995226740837097,uninformed,SSP126,90
1.6072696074843407,0.083640947937965393,SSP126,SSP126,90
20.890869945287704,3.5652297735214233,uninformed,SSP245,90
16.605086624622345,2.299741506576538,SSP245,SSP245,90
96.08240723609924,17.367860794067383,uninformed,SSP585,90
82.92390406131744,13.128280639648438,SSP585,SSP585,90
6.044655479490757,1.1896902918815613,uninformed,SSP126,100
1.6431061550974846,0.10690182447433472,SSP126,SSP126,100
20.832480490207672,3.550028443336487,uninformed,SSP245,100
16.758186370134354,2.3312978744506836,SSP245,SSP245,100
96.66856527328491,17.35826587677002,uninformed,SSP585,100
83.82478356361389,13.425187110900879,SSP585,SSP585,100
