features,target_20_SSP126,target_20_SSP245,target_20_SSP585,target_20_uninformed,target_30_SSP126,target_30_SSP245,target_30_SSP585,target_30_uninformed,target_40_SSP126,target_40_SSP245,target_40_SSP585,target_40_uninformed,target_50_SSP126,target_50_SSP245,target_50_SSP585,target_50_uninformed,target_60_SSP126,target_60_SSP245,target_60_SSP585,target_60_uninformed,target_70_SSP126,target_70_SSP245,target_70_SSP585,target_70_uninformed,target_80_SSP126,target_80_SSP245,target_80_SSP585,target_80_uninformed,target_90_SSP126,target_90_SSP245,target_90_SSP585,target_90_uninformed,target_100_SSP126,target_100_SSP245,target_100_SSP585,target_100_uninformed
ALB,5.013458950201884,5.0054704595186,5.007804370447451,5.012531328320802,7.503364737550471,7.5082056892779,7.505202913631634,7.518796992481203,10.010094212651413,10.0109409190372,10.002601456815817,10.002278423331056,12.5,12.5,12.5,12.508544087491455,15.460969044414535,15.0027352297593,15.010405827263268,15.014809751651855,18.64064602960969,17.505470459518598,17.50780437044745,17.521075415812255,20.79407806191117,20.0082056892779,20.005202913631635,20.004556846662112,23.09892328398385,22.510940919037196,22.502601456815814,22.51082251082251,25,25,25,25.01708817498291
Caretta_caretta_IUCN,5.00134989200864,5.002306539038173,5.001093732910424,5.9518748405747814,7.502024838012959,7.5020182216584015,7.500273433227606,8.774764050675964,10.00269978401728,10.00172990427863,10.002187465820848,10.636850607941502,12.5,12.50144158689886,12.50136716613803,12.685996088767961,15.000674946004318,15.001153269519085,15.000546866455212,15.002975937420288,17.501349892008637,17.500864952139313,17.50246089904845,17.502763370461697,20.13363930885529,20.000576634759543,20.001640599365636,20.0025508035031,22.688309935205183,22.50028831737977,22.500820299682818,22.50233823654451,25,25,25,25.00212566958592
Chelonia_mydas_IUCN,5.0030725112658745,5.001456027955737,5,5.00058146296081,7.502048340843917,7.502184041933605,7.5,7.5008721944412144,10.001024170421958,10.002912055911475,10,10.00116292592162,12.5,12.5,12.5,12.501453657402022,15.004096681687834,15.000728013977868,15,15.001744388882429,17.503072511265874,17.501456027955737,17.5,17.502035120362834,20.002048340843917,20.002184041933603,20,20.00232585184324,22.501024170421957,22.502912055911473,22.5,22.502616583323643,25,25,25,25.002907314804045
Dermochelys_coriacea_IUCN,5,5.00258698745311,5.001925051334703,6.146784649600152,7.501936483346243,7.502263614021472,7.501283367556469,9.099512610609,10,10.001940240589834,10.000641683778234,10.746226281171626,12.501936483346244,12.501616867158194,12.5,12.605877064307009,15,15.001293493726555,15.002566735112937,15.000236596791746,17.501936483346242,17.500970120294916,17.501925051334702,17.50343065348034,20,20.000646746863275,20.001283367556468,20.001892774333978,22.501936483346245,22.500323373431637,22.500641683778234,22.50035489518762,25,25,25,25.003548951876216
Eretmochelys_imbricata_IUCN,5.002326663564449,5.001492240350179,5.000474878905879,5.000357168369169,7.500581665891112,7.5009948269001185,7.5007123183588185,7.500535752553754,10.001744997673336,10.00049741345006,10.000949757811759,10.000714336738339,12.5,12.5,12.501187197264699,12.500892920922924,15.001163331782225,15.001989653800237,15.001424636717637,15.001071505107507,17.50232666356445,17.501492240350178,17.501662076170575,17.501250089292093,20.00058166589111,20.00099482690012,20.001899515623517,20.001428673476678,22.501744997673338,22.50049741345006,22.502136955076455,22.50160725766126,25,25,25,25.001785841845848
Lepidochelys_olivacea_IUCN,5.014970059880239,5.003357958361317,5.003050640634534,6.406820950060902,7.50374251497006,7.505036937541974,7.5045759609518,9.28136419001218,10.011227544910179,10.006715916722634,10.006101281269068,11.230207064555419,12.5,12.50839489590329,12.507626601586333,12.521315468940317,15.00748502994012,15.010073875083949,15.0091519219036,15.006090133982946,17.514970059880238,17.511752854264607,17.510677242220865,17.515225334957368,20.00374251497006,20.013431833445267,20.012202562538135,20,22.511227544910177,22.515110812625924,22.5137278828554,22.509135200974423,25,25,25,25.018270401948843
SKP,5.908584169453734,5.004295532646048,5.0154918667699455,5.016722408026756,8.054626532887402,7.517182130584192,7.513555383423702,7.5250836120401345,10.005574136008919,10.008591065292096,10.01161890007746,10,12.513935340022297,13.573883161512027,12.8001549186677,12.508361204013378,15.022296544035674,17.031786941580755,15.046475600309837,15.016722408026755,17.502787068004462,21.86426116838488,19.50038729666925,17.525083612040135,20.011148272017838,24.162371134020617,21.61115414407436,20,22.519509476031217,24.613402061855673,23.412083656080558,22.508361204013376,25,25,25,25.016722408026755
SWO,5.346385542168674,6.541963578780681,7.544830217474247,5.006765899864682,7.951807228915662,9.600158353127474,10.48264021365891,7.628552097428957,10.512048192771084,12.490102929532858,12.87676459366654,10.385656292286875,12.951807228915662,16.033254156769598,15.29950400610454,13.261163734776726,15.737951807228914,18.517418844022167,17.541014879816863,16.62719891745602,18.644578313253014,21.536025336500394,20.28805799313239,19.891745602165088,20.85843373493976,23.81235154394299,22.37695536054941,23.10554803788904,23.283132530120483,24.67339667458432,24.01755055322396,26.31935047361299,25,25,25,29.24560216508796
YFT,5.003415300546448,8.039348710990502,8.430589680589682,5.00651890482399,7.5136612021857925,10.78697421981004,11.778255528255528,7.509778357235984,10.006830601092895,12.890094979647218,13.989557739557739,10.01303780964798,12.5,16.027815468113975,16.016584766584767,12.516297262059975,15.010245901639344,18.690637720488468,17.598280098280096,16.03650586701434,17.50341530054645,21.964043419267302,20.347051597051596,19.791395045632335,20.01366120218579,24.135006784260515,20.915233415233413,23.650586701434158,22.506830601092894,24.745590230664856,22.512285012285012,27.379400260756192,25,25,25,31.16036505867014
