summary,feature,total_amount,absolute_held,relative_held
overall,ALB,2402,481,0.20024979184013322
overall,Caretta_caretta_IUCN,13337,2668,0.2000449876284022
overall,Chelonia_mydas_IUCN,10559,2112,0.20001894118761246
overall,Dermochelys_coriacea_IUCN,11962,2393,0.200050158836315
overall,Eretmochelys_imbricata_IUCN,15767,3154,0.20003805416375975
overall,Lepidochelys_olivacea_IUCN,2811,563,0.20028459622909997
overall,SKP,1790,366,0.20446927374301677
overall,SWO,3706,926,0.24986508364813814
overall,YFT,2820,564,0.2
