summary,feature,total_amount,absolute_held,relative_held
overall,ALB,2402,1212,0.5045795170691091
overall,Caretta_caretta_IUCN,13337,6669,0.5000374896903351
overall,Chelonia_mydas_IUCN,10559,5280,0.5000473529690311
overall,Dermochelys_coriacea_IUCN,11962,5981,0.5
overall,Eretmochelys_imbricata_IUCN,15767,7884,0.5000317118031331
overall,Lepidochelys_olivacea_IUCN,2811,1406,0.5001778726431875
overall,SKP,1790,1012,0.5653631284916201
overall,SWO,3706,2100,0.5666486778197517
overall,YFT,2820,1410,0.5
