summary,feature,total_amount,absolute_held,relative_held
overall,ALB,3275,819,0.2500763358778626
overall,Caretta_caretta_IUCN,15893,3974,0.2500471905870509
overall,Chelonia_mydas_IUCN,12115,3029,0.25002063557573256
overall,Dermochelys_coriacea_IUCN,13902,3476,0.2500359660480506
overall,Eretmochelys_imbricata_IUCN,18121,4531,0.2500413884443463
overall,Lepidochelys_olivacea_IUCN,2997,750,0.2502502502502503
overall,SKP,2345,587,0.25031982942430703
overall,SWO,4624,1361,0.2943339100346021
overall,YFT,2833,1045,0.3688669255206495
