summary,feature,total_amount,absolute_held,relative_held
overall,ALB,3222,967,0.30012414649286157
overall,Caretta_caretta_IUCN,15798,4740,0.3000379794910748
overall,Chelonia_mydas_IUCN,12003,3601,0.3000083312505207
overall,Dermochelys_coriacea_IUCN,14074,4223,0.3000568424044337
overall,Eretmochelys_imbricata_IUCN,18402,5521,0.30002173676774263
overall,Lepidochelys_olivacea_IUCN,2862,859,0.3001397624039133
overall,SKP,2266,680,0.3000882612533098
overall,SWO,4568,1634,0.3577057793345009
overall,YFT,2598,1021,0.3929946112394149
