summary,feature,total_amount,absolute_held,relative_held
overall,ALB,2402,961,0.40008326394671107
overall,Caretta_caretta_IUCN,13337,5335,0.40001499587613404
overall,Chelonia_mydas_IUCN,10559,4224,0.4000378823752249
overall,Dermochelys_coriacea_IUCN,11962,4785,0.400016719612105
overall,Eretmochelys_imbricata_IUCN,15767,6307,0.40001268472125323
overall,Lepidochelys_olivacea_IUCN,2811,1125,0.400213447171825
overall,SKP,1790,785,0.43854748603351956
overall,SWO,3706,1773,0.4784133837021047
overall,YFT,2820,1128,0.4
