summary,feature,total_amount,absolute_held,relative_held
overall,ALB,3275,328,0.10015267175572519
overall,Caretta_caretta_IUCN,15893,1850,0.11640344805889385
overall,Chelonia_mydas_IUCN,12115,1212,0.10004127115146512
overall,Dermochelys_coriacea_IUCN,13902,1566,0.11264566249460509
overall,Eretmochelys_imbricata_IUCN,18121,1813,0.1000496661332156
overall,Lepidochelys_olivacea_IUCN,2997,356,0.11878545211878545
overall,SKP,2345,235,0.10021321961620469
overall,SWO,4624,480,0.10380622837370242
overall,YFT,2833,329,0.11613130956583127
