sum,retained,features,relative
413,20,WARM_ALB,0.048426150121065374
1658,115,NPSW_ALB,0.06936067551266586
178,15,No-Category_ALB,0.08426966292134831
6,4,TASM_ALB,0.6666666666666666
83,2,ARCH_ALB,0.024096385542168676
137,10,SPSG_ALB,0.072992700729927
222,20,PNEC_ALB,0.09009009009009009
721,27,NPTG_ALB,0.03744798890429958
199,28,PEQD_ALB,0.1407035175879397
468,20,WARM_SKP,0.042735042735042736
853,48,NPSW_SKP,0.05627198124267292
135,15,No-Category_SKP,0.1111111111111111
4,0,ARCH_SKP,0
53,5,SPSG_SKP,0.09433962264150944
264,24,NPTG_SKP,0.09090909090909091
279,63,PEQD_SKP,0.22580645161290322
355,53,PNEC_SKP,0.14929577464788732
357,29,WARM_SWO,0.08123249299719888
1586,118,NPSW_SWO,0.07440100882723834
272,18,No-Category_SWO,0.0661764705882353
3,3,TASM_SWO,1
15,1,ARCH_SWO,0.06666666666666667
315,25,SPSG_SWO,0.07936507936507936
959,151,PEQD_SWO,0.15745568300312826
680,140,PNEC_SWO,0.20588235294117646
617,26,NPTG_SWO,0.04213938411669368
492,28,WARM_YFT,0.056910569105691054
135,3,NPSW_YFT,0.022222222222222223
170,9,No-Category_YFT,0.052941176470588235
1031,159,PEQD_YFT,0.1542192046556741
1074,154,PNEC_YFT,0.14338919925512103
81,4,NPTG_YFT,0.04938271604938271
11,5,CHIL_YFT,0.45454545454545453
624,33,WARM_Caretta_caretta_IUCN,0.052884615384615384
2460,222,NPSW_Caretta_caretta_IUCN,0.09024390243902439
1134,64,No-Category_Caretta_caretta_IUCN,0.0564373897707231
214,7,KURO_Caretta_caretta_IUCN,0.03271028037383177
478,7,PSAW_Caretta_caretta_IUCN,0.014644351464435146
114,0,SSTC_Caretta_caretta_IUCN,0
320,14,TASM_Caretta_caretta_IUCN,0.04375
54,6,SANT_Caretta_caretta_IUCN,0.1111111111111111
2440,187,NPPF_Caretta_caretta_IUCN,0.07663934426229509
167,2,ARCH_Caretta_caretta_IUCN,0.011976047904191617
5304,359,SPSG_Caretta_caretta_IUCN,0.06768476621417797
624,7,PSAE_Caretta_caretta_IUCN,0.011217948717948718
3834,202,NPTG_Caretta_caretta_IUCN,0.05268648930620762
3424,347,PEQD_Caretta_caretta_IUCN,0.10134345794392523
1905,184,PNEC_Caretta_caretta_IUCN,0.09658792650918635
212,20,CCAL_Caretta_caretta_IUCN,0.09433962264150944
48,6,CHIL_Caretta_caretta_IUCN,0.125
624,33,WARM_Chelonia_mydas_IUCN,0.052884615384615384
2460,222,NPSW_Chelonia_mydas_IUCN,0.09024390243902439
817,38,No-Category_Chelonia_mydas_IUCN,0.046511627906976744
136,0,KURO_Chelonia_mydas_IUCN,0
199,8,TASM_Chelonia_mydas_IUCN,0.04020100502512563
437,44,NPPF_Chelonia_mydas_IUCN,0.10068649885583524
167,2,ARCH_Chelonia_mydas_IUCN,0.011976047904191617
2773,175,SPSG_Chelonia_mydas_IUCN,0.06310854670032456
3821,199,NPTG_Chelonia_mydas_IUCN,0.05208060717089767
3424,347,PEQD_Chelonia_mydas_IUCN,0.10134345794392523
1905,184,PNEC_Chelonia_mydas_IUCN,0.09658792650918635
125,4,CCAL_Chelonia_mydas_IUCN,0.032
48,6,CHIL_Chelonia_mydas_IUCN,0.125
624,33,WARM_Dermochelys_coriacea_IUCN,0.052884615384615384
2460,222,NPSW_Dermochelys_coriacea_IUCN,0.09024390243902439
1074,61,No-Category_Dermochelys_coriacea_IUCN,0.056797020484171325
214,7,KURO_Dermochelys_coriacea_IUCN,0.03271028037383177
478,7,PSAW_Dermochelys_coriacea_IUCN,0.014644351464435146
315,13,TASM_Dermochelys_coriacea_IUCN,0.04126984126984127
2440,187,NPPF_Dermochelys_coriacea_IUCN,0.07663934426229509
167,2,ARCH_Dermochelys_coriacea_IUCN,0.011976047904191617
108,0,SSTC_Dermochelys_coriacea_IUCN,0
5300,255,SPSG_Dermochelys_coriacea_IUCN,0.048113207547169815
624,7,PSAE_Dermochelys_coriacea_IUCN,0.011217948717948718
2605,201,NPTG_Dermochelys_coriacea_IUCN,0.07715930902111325
