sum,retained,features,relative
413,36,WARM_ALB,0.08716707021791767
1658,340,NPSW_ALB,0.20506634499396864
178,31,No-Category_ALB,0.17415730337078653
6,5,TASM_ALB,0.8333333333333334
83,5,ARCH_ALB,0.060240963855421686
137,37,SPSG_ALB,0.27007299270072993
222,55,PNEC_ALB,0.24774774774774774
721,109,NPTG_ALB,0.15117891816920942
199,63,PEQD_ALB,0.3165829145728643
468,39,WARM_SKP,0.08333333333333333
853,186,NPSW_SKP,0.21805392731535755
135,28,No-Category_SKP,0.2074074074074074
4,1,ARCH_SKP,0.25
53,9,SPSG_SKP,0.16981132075471697
264,78,NPTG_SKP,0.29545454545454547
279,118,PEQD_SKP,0.4229390681003584
355,152,PNEC_SKP,0.428169014084507
357,62,WARM_SWO,0.17366946778711484
1586,336,NPSW_SWO,0.21185372005044137
272,52,No-Category_SWO,0.19117647058823528
3,3,TASM_SWO,1
15,4,ARCH_SWO,0.26666666666666666
315,54,SPSG_SWO,0.17142857142857143
959,313,PEQD_SWO,0.32638164754953075
680,339,PNEC_SWO,0.4985294117647059
617,104,NPTG_SWO,0.1685575364667747
492,58,WARM_YFT,0.11788617886178862
135,24,NPSW_YFT,0.17777777777777778
170,32,No-Category_YFT,0.18823529411764706
1031,344,PEQD_YFT,0.33365664403491757
1074,402,PNEC_YFT,0.3743016759776536
81,48,NPTG_YFT,0.5925925925925926
11,9,CHIL_YFT,0.8181818181818182
624,70,WARM_Caretta_caretta_IUCN,0.11217948717948718
2460,575,NPSW_Caretta_caretta_IUCN,0.23373983739837398
1134,174,No-Category_Caretta_caretta_IUCN,0.15343915343915343
214,14,KURO_Caretta_caretta_IUCN,0.06542056074766354
478,14,PSAW_Caretta_caretta_IUCN,0.029288702928870293
114,31,SSTC_Caretta_caretta_IUCN,0.2719298245614035
320,34,TASM_Caretta_caretta_IUCN,0.10625
54,8,SANT_Caretta_caretta_IUCN,0.14814814814814814
2440,467,NPPF_Caretta_caretta_IUCN,0.19139344262295083
167,5,ARCH_Caretta_caretta_IUCN,0.029940119760479042
5304,1045,SPSG_Caretta_caretta_IUCN,0.1970211161387632
624,91,PSAE_Caretta_caretta_IUCN,0.14583333333333334
3834,555,NPTG_Caretta_caretta_IUCN,0.14475743348982786
3424,852,PEQD_Caretta_caretta_IUCN,0.2488317757009346
1905,509,PNEC_Caretta_caretta_IUCN,0.2671916010498688
212,60,CCAL_Caretta_caretta_IUCN,0.2830188679245283
48,13,CHIL_Caretta_caretta_IUCN,0.2708333333333333
624,70,WARM_Chelonia_mydas_IUCN,0.11217948717948718
2460,575,NPSW_Chelonia_mydas_IUCN,0.23373983739837398
817,117,No-Category_Chelonia_mydas_IUCN,0.14320685434516525
136,0,KURO_Chelonia_mydas_IUCN,0
199,22,TASM_Chelonia_mydas_IUCN,0.11055276381909548
437,115,NPPF_Chelonia_mydas_IUCN,0.2631578947368421
167,5,ARCH_Chelonia_mydas_IUCN,0.029940119760479042
2773,495,SPSG_Chelonia_mydas_IUCN,0.17850703209520374
3821,549,NPTG_Chelonia_mydas_IUCN,0.1436796650091599
3424,852,PEQD_Chelonia_mydas_IUCN,0.2488317757009346
1905,509,PNEC_Chelonia_mydas_IUCN,0.2671916010498688
125,23,CCAL_Chelonia_mydas_IUCN,0.184
48,13,CHIL_Chelonia_mydas_IUCN,0.2708333333333333
624,70,WARM_Dermochelys_coriacea_IUCN,0.11217948717948718
2460,575,NPSW_Dermochelys_coriacea_IUCN,0.23373983739837398
