summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,31,28,0.9032258064516129
overall,ARCH_Rep-1347,13,12,0.9230769230769231
overall,ARCH_Rep-2226,13,12,0.9230769230769231
overall,ARCH_Rep-3437,57,52,0.9122807017543859
overall,ARCH_Rep-4127,13,12,0.9230769230769231
overall,ARCH_Rep-5414,3,3,1
overall,ARCH_SKP,2,2,1
overall,ARCH_SWO,7,7,1
overall,CCAL_Rep-3437,104,94,0.9038461538461539
overall,CHIL_Rep-3437,24,22,0.9166666666666666
overall,CHIL_YFT,6,6,1
overall,KURO_Rep-3437,108,98,0.9074074074074074
overall,No-Category_ALB,87,79,0.9080459770114943
overall,No-Category_Rep-1347,1,1,1
overall,No-Category_Rep-3437,735,662,0.9006802721088435
overall,No-Category_SKP,68,62,0.9117647058823529
overall,No-Category_SWO,134,121,0.9029850746268657
overall,No-Category_YFT,86,78,0.9069767441860465
overall,NPPF_Rep-3437,891,802,0.9001122334455668
overall,NPSW_ALB,746,659,0.8833780160857909
overall,NPSW_Rep-1347,4,4,1
overall,NPSW_Rep-2226,4,4,1
overall,NPSW_Rep-3437,1230,1107,0.9
overall,NPSW_Rep-4127,4,4,1
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,386,367,0.9507772020725389
overall,NPSW_SWO,715,634,0.8867132867132868
overall,NPSW_YFT,61,60,0.9836065573770492
overall,NPTG_ALB,343,306,0.892128279883382
overall,NPTG_Rep-3437,1346,1212,0.9004457652303121
overall,NPTG_SKP,132,131,0.9924242424242424
overall,NPTG_SWO,293,262,0.89419795221843
overall,NPTG_YFT,38,35,0.9210526315789473
overall,PEQD_ALB,100,90,0.9
overall,PEQD_Rep-3437,1535,1382,0.9003257328990228
overall,PEQD_SKP,129,127,0.9844961240310077
overall,PEQD_SWO,480,427,0.8895833333333333
overall,PEQD_YFT,487,433,0.8891170431211499
overall,PNEC_ALB,104,94,0.9038461538461539
overall,PNEC_Rep-3437,789,711,0.9011406844106464
overall,PNEC_SKP,158,142,0.8987341772151899
overall,PNEC_SWO,299,277,0.9264214046822743
overall,PNEC_YFT,468,434,0.9273504273504274
overall,PSAE_Rep-3437,134,121,0.9029850746268657
overall,PSAW_Rep-3437,76,69,0.9078947368421053
overall,SANT_Rep-3437,638,575,0.9012539184952978
overall,SPSG_ALB,42,38,0.9047619047619048
overall,SPSG_Rep-1347,8,8,1
overall,SPSG_Rep-2226,8,8,1
overall,SPSG_Rep-3437,1693,1524,0.900177200236267
overall,SPSG_Rep-4127,9,9,1
overall,SPSG_Rep-5414,5,5,1
overall,SPSG_SKP,16,15,0.9375
overall,SPSG_SWO,90,81,0.9
overall,SSTC_Rep-1347,1,1,1
overall,SSTC_Rep-3437,798,719,0.9010025062656641
overall,TASM_ALB,3,3,1
overall,TASM_Rep-3437,118,107,0.9067796610169492
overall,TASM_SWO,1,1,1
overall,WARM_ALB,165,148,0.896969696969697
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,238,215,0.9033613445378151
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,190,171,0.9
overall,WARM_SWO,113,102,0.9026548672566371
overall,WARM_YFT,185,166,0.8972972972972973
