summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,31,10,0.3225806451612903
overall,ARCH_Rep-1347,13,4,0.3076923076923077
overall,ARCH_Rep-2226,13,4,0.3076923076923077
overall,ARCH_Rep-3437,57,18,0.3157894736842105
overall,ARCH_Rep-4127,13,4,0.3076923076923077
overall,ARCH_Rep-5414,3,1,0.3333333333333333
overall,ARCH_SKP,2,1,0.5
overall,ARCH_SWO,7,3,0.42857142857142855
overall,CCAL_Rep-3437,104,32,0.3076923076923077
overall,CHIL_Rep-3437,24,8,0.3333333333333333
overall,CHIL_YFT,6,2,0.3333333333333333
overall,KURO_Rep-3437,108,33,0.3055555555555556
overall,No-Category_ALB,87,27,0.3103448275862069
overall,No-Category_Rep-1347,1,1,1
overall,No-Category_Rep-3437,735,221,0.3006802721088435
overall,No-Category_SKP,68,25,0.36764705882352944
overall,No-Category_SWO,134,41,0.30597014925373134
overall,No-Category_YFT,86,26,0.3023255813953488
overall,NPPF_Rep-3437,891,268,0.30078563411896747
overall,NPSW_ALB,746,221,0.29624664879356566
overall,NPSW_Rep-1347,4,2,0.5
overall,NPSW_Rep-2226,4,2,0.5
overall,NPSW_Rep-3437,1230,369,0.3
overall,NPSW_Rep-4127,4,2,0.5
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,386,115,0.2979274611398964
overall,NPSW_SWO,715,212,0.2965034965034965
overall,NPSW_YFT,61,21,0.3442622950819672
overall,NPTG_ALB,343,103,0.30029154518950435
overall,NPTG_Rep-3437,1346,404,0.300148588410104
overall,NPTG_SKP,132,41,0.3106060606060606
overall,NPTG_SWO,293,88,0.3003412969283277
overall,NPTG_YFT,38,12,0.3157894736842105
overall,PEQD_ALB,100,30,0.3
overall,PEQD_Rep-3437,1535,461,0.3003257328990228
overall,PEQD_SKP,129,58,0.4496124031007752
overall,PEQD_SWO,480,143,0.29791666666666666
overall,PEQD_YFT,487,145,0.29774127310061604
overall,PNEC_ALB,104,32,0.3076923076923077
overall,PNEC_Rep-3437,789,237,0.30038022813688214
overall,PNEC_SKP,158,48,0.3037974683544304
overall,PNEC_SWO,299,90,0.3010033444816054
overall,PNEC_YFT,468,152,0.3247863247863248
overall,PSAE_Rep-3437,134,41,0.30597014925373134
overall,PSAW_Rep-3437,76,23,0.3026315789473684
overall,SANT_Rep-3437,638,192,0.30094043887147337
overall,SPSG_ALB,42,13,0.30952380952380953
overall,SPSG_Rep-1347,8,3,0.375
overall,SPSG_Rep-2226,8,3,0.375
overall,SPSG_Rep-3437,1693,508,0.3000590667454223
overall,SPSG_Rep-4127,9,3,0.3333333333333333
overall,SPSG_Rep-5414,5,2,0.4
overall,SPSG_SKP,16,5,0.3125
overall,SPSG_SWO,90,27,0.3
overall,SSTC_Rep-1347,1,1,1
overall,SSTC_Rep-3437,798,240,0.3007518796992481
overall,TASM_ALB,3,3,1
overall,TASM_Rep-3437,118,36,0.3050847457627119
overall,TASM_SWO,1,1,1
overall,WARM_ALB,165,50,0.30303030303030304
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,238,72,0.3025210084033613
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,190,57,0.3
overall,WARM_SWO,113,42,0.37168141592920356
overall,WARM_YFT,185,56,0.3027027027027027
