summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,31,31,1
overall,ARCH_Rep-1347,13,13,1
overall,ARCH_Rep-2226,13,13,1
overall,ARCH_Rep-3437,57,57,1
overall,ARCH_Rep-4127,13,13,1
overall,ARCH_Rep-5414,3,3,1
overall,ARCH_SKP,2,2,1
overall,ARCH_SWO,7,7,1
overall,CCAL_Rep-3437,104,104,1
overall,CHIL_Rep-3437,24,24,1
overall,CHIL_YFT,6,6,1
overall,KURO_Rep-3437,108,108,1
overall,No-Category_ALB,87,87,1
overall,No-Category_Rep-1347,1,1,1
overall,No-Category_Rep-3437,735,735,1
overall,No-Category_SKP,68,68,1
overall,No-Category_SWO,134,134,1
overall,No-Category_YFT,86,86,1
overall,NPPF_Rep-3437,891,891,1
overall,NPSW_ALB,746,731,0.9798927613941019
overall,NPSW_Rep-1347,4,4,1
overall,NPSW_Rep-2226,4,4,1
overall,NPSW_Rep-3437,1230,1230,1
overall,NPSW_Rep-4127,4,4,1
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,386,382,0.9896373056994818
overall,NPSW_SWO,715,701,0.9804195804195804
overall,NPSW_YFT,61,61,1
overall,NPTG_ALB,343,340,0.9912536443148688
overall,NPTG_Rep-3437,1346,1346,1
overall,NPTG_SKP,132,132,1
overall,NPTG_SWO,293,291,0.9931740614334471
overall,NPTG_YFT,38,38,1
overall,PEQD_ALB,100,100,1
overall,PEQD_Rep-3437,1535,1535,1
overall,PEQD_SKP,129,129,1
overall,PEQD_SWO,480,480,1
overall,PEQD_YFT,487,487,1
overall,PNEC_ALB,104,104,1
overall,PNEC_Rep-3437,789,789,1
overall,PNEC_SKP,158,158,1
overall,PNEC_SWO,299,299,1
overall,PNEC_YFT,468,468,1
overall,PSAE_Rep-3437,134,134,1
overall,PSAW_Rep-3437,76,76,1
overall,SANT_Rep-3437,638,638,1
overall,SPSG_ALB,42,42,1
overall,SPSG_Rep-1347,8,8,1
overall,SPSG_Rep-2226,8,8,1
overall,SPSG_Rep-3437,1693,1693,1
overall,SPSG_Rep-4127,9,9,1
overall,SPSG_Rep-5414,5,5,1
overall,SPSG_SKP,16,16,1
overall,SPSG_SWO,90,90,1
overall,SSTC_Rep-1347,1,1,1
overall,SSTC_Rep-3437,798,798,1
overall,TASM_ALB,3,3,1
overall,TASM_Rep-3437,118,118,1
overall,TASM_SWO,1,1,1
overall,WARM_ALB,165,165,1
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,238,238,1
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,190,189,0.9947368421052631
overall,WARM_SWO,113,113,1
overall,WARM_YFT,185,185,1
