summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,31,8,0.25806451612903225
overall,ARCH_Rep-1347,13,3,0.23076923076923078
overall,ARCH_Rep-2226,13,3,0.23076923076923078
overall,ARCH_Rep-3437,57,12,0.21052631578947367
overall,ARCH_Rep-4127,13,3,0.23076923076923078
overall,ARCH_Rep-5414,3,1,0.3333333333333333
overall,ARCH_SKP,2,1,0.5
overall,ARCH_SWO,7,2,0.2857142857142857
overall,CCAL_Rep-3437,104,21,0.20192307692307693
overall,CHIL_Rep-3437,24,5,0.20833333333333334
overall,CHIL_YFT,6,2,0.3333333333333333
overall,KURO_Rep-3437,108,22,0.2037037037037037
overall,No-Category_ALB,87,18,0.20689655172413793
overall,No-Category_Rep-1347,1,1,1
overall,No-Category_Rep-3437,735,147,0.2
overall,No-Category_SKP,68,18,0.2647058823529412
overall,No-Category_SWO,134,27,0.20149253731343283
overall,No-Category_YFT,86,18,0.20930232558139536
overall,NPPF_Rep-3437,891,179,0.20089786756453423
overall,NPSW_ALB,746,148,0.19839142091152814
overall,NPSW_Rep-1347,4,1,0.25
overall,NPSW_Rep-2226,4,1,0.25
overall,NPSW_Rep-3437,1230,246,0.2
overall,NPSW_Rep-4127,4,1,0.25
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,386,77,0.19948186528497408
overall,NPSW_SWO,715,142,0.1986013986013986
overall,NPSW_YFT,61,13,0.21311475409836064
overall,NPTG_ALB,343,71,0.20699708454810495
overall,NPTG_Rep-3437,1346,270,0.20059435364041606
overall,NPTG_SKP,132,27,0.20454545454545456
overall,NPTG_SWO,293,59,0.20136518771331058
overall,NPTG_YFT,38,8,0.21052631578947367
overall,PEQD_ALB,100,20,0.2
overall,PEQD_Rep-3437,1535,307,0.2
overall,PEQD_SKP,129,36,0.27906976744186046
overall,PEQD_SWO,480,96,0.2
overall,PEQD_YFT,487,97,0.19917864476386038
overall,PNEC_ALB,104,21,0.20192307692307693
overall,PNEC_Rep-3437,789,158,0.2002534854245881
overall,PNEC_SKP,158,32,0.20253164556962025
overall,PNEC_SWO,299,60,0.20066889632107024
overall,PNEC_YFT,468,101,0.21581196581196582
overall,PSAE_Rep-3437,134,27,0.20149253731343283
overall,PSAW_Rep-3437,76,16,0.21052631578947367
overall,SANT_Rep-3437,638,128,0.2006269592476489
overall,SPSG_ALB,42,9,0.21428571428571427
overall,SPSG_Rep-1347,8,2,0.25
overall,SPSG_Rep-2226,8,2,0.25
overall,SPSG_Rep-3437,1693,339,0.2002362669816893
overall,SPSG_Rep-4127,9,2,0.2222222222222222
overall,SPSG_Rep-5414,5,1,0.2
overall,SPSG_SKP,16,4,0.25
overall,SPSG_SWO,90,18,0.2
overall,SSTC_Rep-1347,1,1,1
overall,SSTC_Rep-3437,798,160,0.20050125313283207
overall,TASM_ALB,3,2,0.6666666666666666
overall,TASM_Rep-3437,118,24,0.2033898305084746
overall,TASM_SWO,1,1,1
overall,WARM_ALB,165,33,0.2
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,238,48,0.20168067226890757
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,190,38,0.2
overall,WARM_SWO,113,29,0.25663716814159293
overall,WARM_YFT,185,37,0.2
