summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,83,9,0.10843373493975904
overall,ARCH_Rep-1347,33,2,0.06060606060606061
overall,ARCH_Rep-2226,33,2,0.06060606060606061
overall,ARCH_Rep-3437,167,9,0.05389221556886228
overall,ARCH_Rep-4127,36,2,0.05555555555555555
overall,ARCH_Rep-5414,5,1,0.2
overall,ARCH_SKP,4,1,0.25
overall,ARCH_SWO,15,3,0.2
overall,CCAL_Rep-3437,208,11,0.052884615384615384
overall,CHIL_Rep-3437,82,5,0.06097560975609756
overall,CHIL_YFT,11,1,0.09090909090909091
overall,KURO_Rep-3437,214,11,0.0514018691588785
overall,No-Category_ALB,178,9,0.05056179775280899
overall,No-Category_Rep-1347,3,1,0.3333333333333333
overall,No-Category_Rep-3437,1650,83,0.0503030303030303
overall,No-Category_SKP,135,7,0.05185185185185185
overall,No-Category_SWO,272,14,0.051470588235294115
overall,No-Category_YFT,170,9,0.052941176470588235
overall,NPPF_Rep-3437,2440,122,0.05
overall,NPSW_ALB,1658,85,0.05126658624849216
overall,NPSW_Rep-1347,9,1,0.1111111111111111
overall,NPSW_Rep-2226,9,1,0.1111111111111111
overall,NPSW_Rep-3437,2460,123,0.05
overall,NPSW_Rep-4127,9,1,0.1111111111111111
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,853,43,0.05041031652989449
overall,NPSW_SWO,1586,84,0.05296343001261034
overall,NPSW_YFT,135,7,0.05185185185185185
overall,NPTG_ALB,721,41,0.056865464632454926
overall,NPTG_Rep-3437,2933,147,0.050119331742243436
overall,NPTG_SKP,264,15,0.056818181818181816
overall,NPTG_SWO,617,31,0.050243111831442464
overall,NPTG_YFT,81,5,0.06172839506172839
overall,PEQD_ALB,199,10,0.05025125628140704
overall,PEQD_Rep-3437,3424,172,0.05023364485981308
overall,PEQD_SKP,279,14,0.05017921146953405
overall,PEQD_SWO,959,53,0.05526590198123045
overall,PEQD_YFT,1031,51,0.049466537342386034
overall,PNEC_ALB,222,12,0.05405405405405406
overall,PNEC_Rep-3437,1905,96,0.050393700787401574
overall,PNEC_SKP,355,18,0.05070422535211268
overall,PNEC_SWO,680,34,0.05
overall,PNEC_YFT,1074,54,0.05027932960893855
overall,PSAE_Rep-3437,425,22,0.05176470588235294
overall,PSAW_Rep-3437,183,10,0.0546448087431694
overall,SANT_Rep-3437,1765,89,0.05042492917847025
overall,SPSG_ALB,137,7,0.051094890510948905
overall,SPSG_Rep-1347,28,2,0.07142857142857142
overall,SPSG_Rep-2226,23,2,0.08695652173913043
overall,SPSG_Rep-3437,5504,276,0.0501453488372093
overall,SPSG_Rep-4127,27,2,0.07407407407407407
overall,SPSG_Rep-5414,15,1,0.06666666666666667
overall,SPSG_SKP,53,3,0.05660377358490566
overall,SPSG_SWO,315,16,0.050793650793650794
overall,SSTC_Rep-1347,4,1,0.25
overall,SSTC_Rep-3437,1739,87,0.050028752156411734
overall,TASM_ALB,6,2,0.3333333333333333
overall,TASM_Rep-3437,320,16,0.05
overall,TASM_SWO,3,1,0.3333333333333333
overall,WARM_ALB,413,22,0.053268765133171914
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,624,32,0.05128205128205128
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,468,24,0.05128205128205128
overall,WARM_SWO,357,26,0.07282913165266107
overall,WARM_YFT,492,25,0.0508130081300813
