summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,26,24,0.9230769230769231
overall,ARCH_Rep-1347,12,11,0.9166666666666666
overall,ARCH_Rep-2226,12,11,0.9166666666666666
overall,ARCH_Rep-3437,44,40,0.9090909090909091
overall,ARCH_Rep-4127,14,13,0.9285714285714286
overall,ARCH_Rep-5414,2,2,1
overall,ARCH_SKP,1,1,1
overall,ARCH_SWO,5,5,1
overall,CCAL_Rep-3437,97,88,0.9072164948453608
overall,CHIL_Rep-3437,38,35,0.9210526315789473
overall,CHIL_YFT,6,6,1
overall,KURO_Rep-3437,87,79,0.9080459770114943
overall,No-Category_ALB,49,46,0.9387755102040817
overall,No-Category_Rep-1347,1,1,1
overall,No-Category_Rep-3437,499,450,0.9018036072144289
overall,No-Category_SKP,35,32,0.9142857142857143
overall,No-Category_SWO,73,66,0.9041095890410958
overall,No-Category_YFT,64,58,0.90625
overall,NPPF_Rep-3437,999,900,0.9009009009009009
overall,NPSW_ALB,795,700,0.8805031446540881
overall,NPSW_Rep-1347,4,4,1
overall,NPSW_Rep-2226,4,4,1
overall,NPSW_Rep-3437,1177,1060,0.9005947323704333
overall,NPSW_Rep-4127,4,4,1
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,388,346,0.8917525773195877
overall,NPSW_SWO,769,680,0.8842652795838751
overall,NPSW_YFT,57,55,0.9649122807017544
overall,NPTG_ALB,237,212,0.8945147679324894
overall,NPTG_Rep-3437,793,714,0.9003783102143758
overall,NPTG_SKP,125,113,0.904
overall,NPTG_SWO,209,188,0.8995215311004785
overall,NPTG_YFT,42,38,0.9047619047619048
overall,PEQD_ALB,100,90,0.9
overall,PEQD_Rep-3437,1520,1368,0.9
overall,PEQD_SKP,128,126,0.984375
overall,PEQD_SWO,437,401,0.9176201372997712
overall,PEQD_YFT,447,415,0.9284116331096197
overall,PNEC_ALB,100,90,0.9
overall,PNEC_Rep-3437,755,680,0.9006622516556292
overall,PNEC_SKP,155,139,0.896774193548387
overall,PNEC_SWO,245,229,0.9346938775510204
overall,PNEC_YFT,401,376,0.9376558603491272
overall,PSAE_Rep-3437,125,113,0.904
overall,PSAW_Rep-3437,92,83,0.9021739130434783
overall,SANT_Rep-3437,532,479,0.900375939849624
overall,SPSG_ALB,38,35,0.9210526315789473
overall,SPSG_Rep-1347,7,7,1
overall,SPSG_Rep-2226,7,7,1
overall,SPSG_Rep-3437,1608,1448,0.900497512437811
overall,SPSG_Rep-4127,8,8,1
overall,SPSG_Rep-5414,5,5,1
overall,SPSG_SKP,15,15,1
overall,SPSG_SWO,112,101,0.9017857142857143
overall,SSTC_Rep-1347,1,1,1
overall,SSTC_Rep-3437,505,455,0.900990099009901
overall,TASM_ALB,4,4,1
overall,TASM_Rep-3437,89,81,0.9101123595505618
overall,TASM_SWO,2,2,1
overall,WARM_ALB,159,143,0.89937106918239
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,214,193,0.9018691588785047
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,175,157,0.8971428571428571
overall,WARM_SWO,137,125,0.9124087591240876
overall,WARM_YFT,181,163,0.9005524861878453
