summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,26,9,0.34615384615384615
overall,ARCH_Rep-1347,12,5,0.4166666666666667
overall,ARCH_Rep-2226,12,5,0.4166666666666667
overall,ARCH_Rep-3437,44,14,0.3181818181818182
overall,ARCH_Rep-4127,14,5,0.35714285714285715
overall,ARCH_Rep-5414,2,1,0.5
overall,ARCH_SKP,1,1,1
overall,ARCH_SWO,5,3,0.6
overall,CCAL_Rep-3437,97,30,0.30927835051546393
overall,CHIL_Rep-3437,38,12,0.3157894736842105
overall,CHIL_YFT,6,2,0.3333333333333333
overall,KURO_Rep-3437,87,27,0.3103448275862069
overall,No-Category_ALB,49,15,0.30612244897959184
overall,No-Category_Rep-1347,1,1,1
overall,No-Category_Rep-3437,499,150,0.30060120240480964
overall,No-Category_SKP,35,12,0.34285714285714286
overall,No-Category_SWO,73,22,0.3013698630136986
overall,No-Category_YFT,64,20,0.3125
overall,NPPF_Rep-3437,999,300,0.3003003003003003
overall,NPSW_ALB,795,235,0.29559748427672955
overall,NPSW_Rep-1347,4,2,0.5
overall,NPSW_Rep-2226,4,2,0.5
overall,NPSW_Rep-3437,1177,354,0.3007646559048428
overall,NPSW_Rep-4127,4,2,0.5
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,388,116,0.29896907216494845
overall,NPSW_SWO,769,230,0.29908972691807545
overall,NPSW_YFT,57,24,0.42105263157894735
overall,NPTG_ALB,237,71,0.29957805907172996
overall,NPTG_Rep-3437,793,238,0.30012610340479196
overall,NPTG_SKP,125,38,0.304
overall,NPTG_SWO,209,63,0.3014354066985646
overall,NPTG_YFT,42,14,0.3333333333333333
overall,PEQD_ALB,100,30,0.3
overall,PEQD_Rep-3437,1520,456,0.3
overall,PEQD_SKP,128,54,0.421875
overall,PEQD_SWO,437,130,0.2974828375286041
overall,PEQD_YFT,447,134,0.29977628635346754
overall,PNEC_ALB,100,30,0.3
overall,PNEC_Rep-3437,755,227,0.30066225165562915
overall,PNEC_SKP,155,47,0.3032258064516129
overall,PNEC_SWO,245,77,0.3142857142857143
overall,PNEC_YFT,401,136,0.33915211970074816
overall,PSAE_Rep-3437,125,38,0.304
overall,PSAW_Rep-3437,92,28,0.30434782608695654
overall,SANT_Rep-3437,532,160,0.3007518796992481
overall,SPSG_ALB,38,12,0.3157894736842105
overall,SPSG_Rep-1347,7,3,0.42857142857142855
overall,SPSG_Rep-2226,7,3,0.42857142857142855
overall,SPSG_Rep-3437,1608,483,0.3003731343283582
overall,SPSG_Rep-4127,8,3,0.375
overall,SPSG_Rep-5414,5,2,0.4
overall,SPSG_SKP,15,5,0.3333333333333333
overall,SPSG_SWO,112,34,0.30357142857142855
overall,SSTC_Rep-1347,1,1,1
overall,SSTC_Rep-3437,505,152,0.300990099009901
overall,TASM_ALB,4,2,0.5
overall,TASM_Rep-3437,89,27,0.30337078651685395
overall,TASM_SWO,2,1,0.5
overall,WARM_ALB,159,50,0.31446540880503143
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,214,65,0.3037383177570093
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,175,53,0.3028571428571429
overall,WARM_SWO,137,41,0.29927007299270075
overall,WARM_YFT,181,55,0.30386740331491713
