median_RCE,median_velocity,scenario,uninformed,target
6.284298747777939,1.0051562786102295,uninformed,SSP126,20
1.3120893388986588,0.08997869119048119,SSP126,SSP126,20
22.36420065164566,3.4146496057510376,uninformed,SSP245,20
12.779051810503006,2.202954649925232,SSP245,SSP245,20
96.6163158416748,17.11566925048828,uninformed,SSP585,20
81.48393332958221,12.960458755493164,SSP585,SSP585,20
6.253182515501976,1.0475980639457703,uninformed,SSP126,30
1.3121030293405056,0.09585856646299362,SSP126,SSP126,30
22.73276299238205,3.4308847188949585,uninformed,SSP245,30
13.241321593523026,2.3316491842269897,SSP245,SSP245,30
97.10770845413208,17.105764389038086,uninformed,SSP585,30
81.53151273727417,13.568544864654541,SSP585,SSP585,30
6.132401525974274,1.1000732779502869,uninformed,SSP126,40
1.4089595526456833,0.10525095462799072,SSP126,SSP126,40
22.388268262147903,3.4091222286224365,uninformed,SSP245,40
13.810884207487106,2.39540958404541,SSP245,SSP245,40
96.061310172081,17.21365451812744,uninformed,SSP585,40
81.76026940345764,14.023787021636963,SSP585,SSP585,40
6.188742630183697,1.156922996044159,uninformed,SSP126,50
1.5338642988353968,0.12600921094417572,SSP126,SSP126,50
22.0734141767025,3.4917097091674805,uninformed,SSP245,50
14.320529252290726,2.4447182416915894,SSP245,SSP245,50
95.46896815299988,17.372164726257324,uninformed,SSP585,50
83.02050530910492,14.283994197845459,SSP585,SSP585,50
6.209414266049862,1.2132218480110168,uninformed,SSP126,60
1.6646688804030418,0.14535389095544815,SSP126,SSP126,60
21.565672755241394,3.574471116065979,uninformed,SSP245,60
15.002070367336273,2.48209810256958,SSP245,SSP245,60
95.14403641223907,17.49008846282959,uninformed,SSP585,60
84.26791429519653,14.5404372215271,SSP585,SSP585,60
6.15210197865963,1.2206284403800964,uninformed,SSP126,70
1.777634583413601,0.1665911078453064,SSP126,SSP126,70
21.257249265909195,3.6030551195144653,uninformed,SSP245,70
15.57793915271759,2.515937566757202,SSP245,SSP245,70
95.33245861530304,17.46785259246826,uninformed,SSP585,70
85.38579642772675,14.604348182678223,SSP585,SSP585,70
6.094849482178688,1.2114320993423462,uninformed,SSP126,80
1.8846631050109863,0.18374616652727127,SSP126,SSP126,80
21.004630625247955,3.5927109718322754,uninformed,SSP245,80
15.995285660028458,2.548781633377075,SSP245,SSP245,80
95.67491412162781,17.40249252319336,uninformed,SSP585,80
86.25755310058594,14.696449279785156,SSP585,SSP585,80
6.057508289813995,1.1995226740837097,uninformed,SSP126,90
1.9830277189612389,0.20050549507141113,SSP126,SSP126,90
20.890869945287704,3.5652297735214233,uninformed,SSP245,90
16.3132905960083,2.5733147859573364,SSP245,SSP245,90
96.08240723609924,17.367860794067383,uninformed,SSP585,90
86.76524758338928,14.808401107788086,SSP585,SSP585,90
6.044655479490757,1.1896902918815613,uninformed,SSP126,100
2.1052313037216663,0.2149544283747673,SSP126,SSP126,100
20.832480490207672,3.550028443336487,uninformed,SSP245,100
16.59504845738411,2.5874422788619995,SSP245,SSP245,100
96.66856527328491,17.35826587677002,uninformed,SSP585,100
87.26778030395508,14.948692321777344,SSP585,SSP585,100
