sum_area,total_cost,percent_area,num_pu,target
1416495.6000000008,7819.859903317876,1.6636901964470354,531,20
1880658.0000000007,11378.208467115182,2.2088542156217694,705,30
2392837.2000000007,14834.898127868306,2.8104145126421662,897,40
3035728.800000001,19428.492786982097,3.565498010464644,1138,50
3729304.8000000007,24658.470805272926,4.380110912679764,1398,60
4521582.000000001,30219.3009140566,5.31064949713319,1695,70
5695326.000000002,40363.92085056286,6.689225177804934,2135,80
6991779.6000000015,52055.91901768232,8.211924679637812,2621,90
8394937.200000001,65640.2503414317,9.85994924334994,3147,100
