sum_area,total_cost,median_velocity,median_RCE,percent_area,num_pu,target,scenario
3734639.9999999995,23831.518935572356,0.08997869119048119,1.3120893388986588,4.386377165773725,1400,20,SSP126
3734640.000000002,24429.6724455948,2.202954649925232,12.779051810503006,4.386377165773728,1400,20,SSP245
3734640.0000000014,22849.6528436332,12.960458755493164,81.48393332958221,4.386377165773727,1400,20,SSP585
3734640.000000001,19620.232257666066,NA,NA,4.386377165773727,1400,20,uninformed
5601960.000000001,40747.87415731093,0.09585856646299362,1.3121030293405056,6.579565748660589,2100,30,SSP126
5601960.000000001,40215.75233050203,2.3316491842269897,13.241321593523026,6.579565748660589,2100,30,SSP245
5601960.000000002,37802.944923848845,13.568544864654541,81.53151273727417,6.579565748660591,2100,30,SSP585
5601960.000000001,32196.822289128788,NA,NA,6.579565748660589,2100,30,uninformed
7469280.000000001,58402.66182528203,0.10525095462799072,1.408959599211812,8.772754331547452,2800,40,SSP126
7469280.000000002,56665.18053401774,2.39540958404541,13.810884207487106,8.772754331547453,2800,40,SSP245
7469280.000000004,53170.10663734656,14.023787021636963,81.76026940345764,8.772754331547455,2800,40,SSP585
7469280.000000001,45409.11540832091,NA,NA,8.772754331547452,2800,40,uninformed
9336600,75849.97346445685,0.12600921094417572,1.5338642988353968,10.965942914434313,3500,50,SSP126
9336600.000000002,73417.63765571127,2.4447182416915894,14.320529252290726,10.965942914434317,3500,50,SSP245
9336600.000000004,69077.74705834221,14.283994197845459,83.02050530910492,10.965942914434319,3500,50,SSP585
9336600.000000002,59285.833743234165,NA,NA,10.965942914434317,3500,50,uninformed
11203920,93459.37607402401,0.14535389095544815,1.6646689735352993,13.159131497321177,4200,60,SSP126
11203920,90276.84410880879,2.48209810256958,15.002070367336273,13.159131497321177,4200,60,SSP245
11203920.000000002,85421.81984264124,14.5404372215271,84.26791429519653,13.159131497321178,4200,60,SSP585
11203920.000000002,73801.7054996686,NA,NA,13.159131497321178,4200,60,uninformed
13071240.000000002,111323.96933515277,0.1665911078453064,1.777634583413601,15.352320080208042,4900,70,SSP126
13071240,107773.67603928177,2.515937566757202,15.57793915271759,15.352320080208038,4900,70,SSP245
13071240,102525.07220700849,14.604348182678223,85.38579642772675,15.352320080208038,4900,70,SSP585
13071240.000000002,89031.86009599734,NA,NA,15.352320080208042,4900,70,uninformed
14938560,129565.94380287407,0.18374616652727127,1.8846631981432438,17.545508663094903,5600,80,SSP126
14938560,125426.26692280872,2.548781633377075,15.995285660028458,17.545508663094903,5600,80,SSP245
14938560,120296.26467037667,14.696449279785156,86.25755310058594,17.545508663094903,5600,80,SSP585
14951898.000000002,104745.05102481414,NA,NA,17.56117429582981,5605,80,uninformed
16805880,148020.07546831248,0.20050549507141113,1.9830278120934963,19.738697245981765,6300,90,SSP126
16805880,143766.41664912412,2.5733147859573364,16.3132905960083,19.738697245981765,6300,90,SSP245
16805880,138730.41373502184,14.808401107788086,86.76524758338928,19.738697245981765,6300,90,SSP585
16827220.8,121009.84728004504,NA,NA,19.763762258357616,6308,90,uninformed
18673200,166912.2413920886,0.2149544283747673,2.105231210589409,21.931885828868626,7000,100,SSP126
18673200,162318.914690841,2.5874422788619995,16.59504845738411,21.931885828868626,7000,100,SSP245
18673200,157157.2568530785,14.948692321777344,87.26778030395508,21.931885828868626,7000,100,SSP585
18694540.800000004,137768.4543358283,NA,NA,21.95695084124448,7008,100,uninformed
