sum_area,total_cost,percent_area,num_pu,target
1960686.0000000007,11903.997767630033,2.3028480120312067,735,20
2099401.2000000007,12333.23513922887,2.4657705924742306,787,30
2467530,12987.683856664691,2.89814205595764,925,40
3011720.399999998,18170.205982436426,3.5372998715418094,1129,50
3230463.5999999996,21222.201346668415,3.794216248394272,1211,60
3417195.6,24124.419972615782,4.0135351066829585,1281,70
3566581.2000000007,29992.86976369936,4.188990193313908,1337,80
3699961.199999998,38420.828849180136,4.345646520662966,1387,90
4625618.399999997,80487.32169662276,5.432841432465453,1734,100
