median_RCE,median_velocity,scenario,uninformed,target
5.730925127863884,0.91738361120224,uninformed,SSP126,20
1.3844146393239498,-0.06998096406459808,SSP126,SSP126,20
22.328386455774307,3.3187824487686157,uninformed,SSP245,20
14.186785370111465,1.8283313512802124,SSP245,SSP245,20
96.0195541381836,16.779488563537598,uninformed,SSP585,20
76.04371309280396,10.857385158538818,SSP585,SSP585,20
6.253182515501976,1.0475980639457703,uninformed,SSP126,30
1.421696413308382,-0.03188863396644592,SSP126,SSP126,30
22.73276299238205,3.4308847188949585,uninformed,SSP245,30
14.50788602232933,1.8701231479644775,SSP245,SSP245,30
97.10770845413208,17.105764389038086,uninformed,SSP585,30
74.66498613357544,10.824091911315918,SSP585,SSP585,30
6.132401525974274,1.1000732779502869,uninformed,SSP126,40
1.4053553808480501,-0.06139630079269409,SSP126,SSP126,40
22.388268262147903,3.4091222286224365,uninformed,SSP245,40
14.472086727619171,1.8944114446640015,SSP245,SSP245,40
96.061310172081,17.21365451812744,uninformed,SSP585,40
74.00181889533997,10.85953140258789,SSP585,SSP585,40
6.188742630183697,1.156922996044159,uninformed,SSP126,50
1.387131353840232,-0.07851570844650269,SSP126,SSP126,50
22.0734141767025,3.4917097091674805,uninformed,SSP245,50
14.476977288722992,1.9048364162445068,SSP245,SSP245,50
95.46896815299988,17.372164726257324,uninformed,SSP585,50
73.51769804954529,10.872232437133789,SSP585,SSP585,50
6.209414266049862,1.2132218480110168,uninformed,SSP126,60
1.362859271466732,-0.0786212831735611,SSP126,SSP126,60
21.565672755241394,3.574471116065979,uninformed,SSP245,60
14.566931128501892,1.89691561460495,SSP245,SSP245,60
95.14403641223907,17.49008846282959,uninformed,SSP585,60
73.75226020812988,10.891433715820312,SSP585,SSP585,60
6.15210197865963,1.2206284403800964,uninformed,SSP126,70
1.3553332071751356,-0.08156723156571388,SSP126,SSP126,70
21.257249265909195,3.6030551195144653,uninformed,SSP245,70
14.566931128501892,1.8815451264381409,SSP245,SSP245,70
95.33245861530304,17.46785259246826,uninformed,SSP585,70
73.17980229854584,10.85387134552002,SSP585,SSP585,70
6.094849482178688,1.2114320993423462,uninformed,SSP126,80
1.3176358304917812,-0.07643621414899826,SSP126,SSP126,80
21.004630625247955,3.5927109718322754,uninformed,SSP245,80
14.528866112232208,1.8709070682525635,SSP245,SSP245,80
95.67491412162781,17.40249252319336,uninformed,SSP585,80
72.24346995353699,10.753716468811035,SSP585,SSP585,80
6.057508289813995,1.1995226740837097,uninformed,SSP126,90
1.2316600419580936,-0.05971454828977585,SSP126,SSP126,90
20.890869945287704,3.5652297735214233,uninformed,SSP245,90
14.36491534113884,1.860003650188446,SSP245,SSP245,90
96.08240723609924,17.367860794067383,uninformed,SSP585,90
71.63696587085724,10.702460289001465,SSP585,SSP585,90
6.044655479490757,1.1896902918815613,uninformed,SSP126,100
1.0673094540834427,-0.01691870018839836,SSP126,SSP126,100
20.832480490207672,3.550028443336487,uninformed,SSP245,100
14.04532715678215,1.8293535709381104,SSP245,SSP245,100
96.66856527328491,17.35826587677002,uninformed,SSP585,100
71.26842737197876,10.599058151245117,SSP585,SSP585,100
