summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,30,27,0.9
overall,ARCH_Caretta_caretta_IUCN,74,67,0.9054054054054054
overall,ARCH_Chelonia_mydas_IUCN,74,67,0.9054054054054054
overall,ARCH_Dermochelys_coriacea_IUCN,74,67,0.9054054054054054
overall,ARCH_Eretmochelys_imbricata_IUCN,74,67,0.9054054054054054
overall,ARCH_Lepidochelys_olivacea_IUCN,35,32,0.9142857142857143
overall,ARCH_SKP,2,2,1
overall,ARCH_SWO,7,7,1
overall,CCAL_Caretta_caretta_IUCN,106,96,0.9056603773584906
overall,CCAL_Chelonia_mydas_IUCN,60,54,0.9
overall,CCAL_Dermochelys_coriacea_IUCN,84,76,0.9047619047619048
overall,CCAL_Eretmochelys_imbricata_IUCN,106,96,0.9056603773584906
overall,CCAL_Lepidochelys_olivacea_IUCN,51,46,0.9019607843137255
overall,CHIL_Caretta_caretta_IUCN,24,22,0.9166666666666666
overall,CHIL_Chelonia_mydas_IUCN,24,22,0.9166666666666666
overall,CHIL_Dermochelys_coriacea_IUCN,19,18,0.9473684210526315
overall,CHIL_Eretmochelys_imbricata_IUCN,25,23,0.92
overall,CHIL_Lepidochelys_olivacea_IUCN,24,22,0.9166666666666666
overall,CHIL_YFT,6,6,1
overall,KURO_Caretta_caretta_IUCN,70,63,0.9
overall,KURO_Chelonia_mydas_IUCN,44,40,0.9090909090909091
overall,KURO_Dermochelys_coriacea_IUCN,70,63,0.9
overall,KURO_Eretmochelys_imbricata_IUCN,70,63,0.9
overall,No-Category_ALB,85,77,0.9058823529411765
overall,No-Category_Caretta_caretta_IUCN,514,463,0.9007782101167315
overall,No-Category_Chelonia_mydas_IUCN,391,352,0.9002557544757033
overall,No-Category_Dermochelys_coriacea_IUCN,459,414,0.9019607843137255
overall,No-Category_Eretmochelys_imbricata_IUCN,621,559,0.9001610305958132
overall,No-Category_Lepidochelys_olivacea_IUCN,90,81,0.9
overall,No-Category_SKP,68,67,0.9852941176470589
overall,No-Category_SWO,131,129,0.9847328244274809
overall,No-Category_YFT,70,63,0.9
overall,NPPF_Caretta_caretta_IUCN,816,735,0.9007352941176471
overall,NPPF_Chelonia_mydas_IUCN,150,136,0.9066666666666666
overall,NPPF_Dermochelys_coriacea_IUCN,816,735,0.9007352941176471
overall,NPPF_Eretmochelys_imbricata_IUCN,816,735,0.9007352941176471
overall,NPSW_ALB,650,575,0.8846153846153846
overall,NPSW_Caretta_caretta_IUCN,1188,1070,0.9006734006734006
overall,NPSW_Chelonia_mydas_IUCN,1188,1070,0.9006734006734006
overall,NPSW_Dermochelys_coriacea_IUCN,1188,1070,0.9006734006734006
overall,NPSW_Eretmochelys_imbricata_IUCN,1188,1070,0.9006734006734006
overall,NPSW_Lepidochelys_olivacea_IUCN,119,108,0.907563025210084
overall,NPSW_SKP,340,304,0.8941176470588236
overall,NPSW_SWO,619,548,0.8852988691437803
overall,NPSW_YFT,51,46,0.9019607843137255
overall,NPTG_ALB,337,301,0.8931750741839762
overall,NPTG_Caretta_caretta_IUCN,1458,1313,0.9005486968449932
overall,NPTG_Chelonia_mydas_IUCN,1451,1306,0.9000689179875948
overall,NPTG_Dermochelys_coriacea_IUCN,901,811,0.9001109877913429
overall,NPTG_Eretmochelys_imbricata_IUCN,1458,1313,0.9005486968449932
overall,NPTG_Lepidochelys_olivacea_IUCN,2,2,1
overall,NPTG_SKP,132,124,0.9393939393939394
overall,NPTG_SWO,297,266,0.8956228956228957
overall,NPTG_YFT,42,38,0.9047619047619048
overall,PEQD_ALB,99,89,0.898989898989899
overall,PEQD_Caretta_caretta_IUCN,1344,1210,0.9002976190476191
overall,PEQD_Chelonia_mydas_IUCN,1344,1210,0.9002976190476191
overall,PEQD_Dermochelys_coriacea_IUCN,962,866,0.9002079002079002
overall,PEQD_Eretmochelys_imbricata_IUCN,1344,1210,0.9002976190476191
overall,PEQD_Lepidochelys_olivacea_IUCN,660,594,0.9
overall,PEQD_SKP,140,139,0.9928571428571429
overall,PEQD_SWO,449,400,0.89086859688196
overall,PEQD_YFT,422,392,0.9289099526066351
overall,PNEC_ALB,105,95,0.9047619047619048
overall,PNEC_Caretta_caretta_IUCN,664,598,0.9006024096385542
overall,PNEC_Chelonia_mydas_IUCN,664,598,0.9006024096385542
overall,PNEC_Dermochelys_coriacea_IUCN,561,505,0.9001782531194296
overall,PNEC_Eretmochelys_imbricata_IUCN,664,598,0.9006024096385542
overall,PNEC_Lepidochelys_olivacea_IUCN,182,164,0.9010989010989011
overall,PNEC_SKP,159,143,0.89937106918239
overall,PNEC_SWO,239,225,0.9414225941422594
overall,PNEC_YFT,384,356,0.9270833333333334
overall,PSAE_Caretta_caretta_IUCN,220,198,0.9
overall,PSAE_Dermochelys_coriacea_IUCN,220,198,0.9
overall,PSAE_Eretmochelys_imbricata_IUCN,220,198,0.9
overall,PSAW_Caretta_caretta_IUCN,219,198,0.9041095890410958
overall,PSAW_Dermochelys_coriacea_IUCN,219,198,0.9041095890410958
overall,PSAW_Eretmochelys_imbricata_IUCN,219,198,0.9041095890410958
overall,SANT_Caretta_caretta_IUCN,27,25,0.9259259259259259
overall,SANT_Eretmochelys_imbricata_IUCN,284,256,0.9014084507042254
overall,SPSG_ALB,49,45,0.9183673469387755
overall,SPSG_Caretta_caretta_IUCN,1627,1465,0.9004302397049785
overall,SPSG_Chelonia_mydas_IUCN,1009,909,0.9008919722497523
overall,SPSG_Dermochelys_coriacea_IUCN,1726,1554,0.9003476245654692
overall,SPSG_Eretmochelys_imbricata_IUCN,2193,1974,0.9001367989056087
overall,SPSG_Lepidochelys_olivacea_IUCN,145,131,0.903448275862069
overall,SPSG_SKP,16,15,0.9375
overall,SPSG_SWO,103,97,0.941747572815534
overall,SSTC_Caretta_caretta_IUCN,47,43,0.9148936170212766
overall,SSTC_Dermochelys_coriacea_IUCN,35,32,0.9142857142857143
overall,SSTC_Eretmochelys_imbricata_IUCN,569,513,0.9015817223198594
overall,TASM_ALB,4,4,1
overall,TASM_Caretta_caretta_IUCN,132,119,0.9015151515151515
overall,TASM_Chelonia_mydas_IUCN,80,72,0.9
overall,TASM_Dermochelys_coriacea_IUCN,130,117,0.9
overall,TASM_Eretmochelys_imbricata_IUCN,132,119,0.9015151515151515
overall,TASM_Lepidochelys_olivacea_IUCN,85,80,0.9411764705882353
overall,TASM_SWO,2,2,1
