summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,31,28,0.9032258064516129
overall,ARCH_Caretta_caretta_IUCN,57,52,0.9122807017543859
overall,ARCH_Chelonia_mydas_IUCN,57,52,0.9122807017543859
overall,ARCH_Dermochelys_coriacea_IUCN,57,52,0.9122807017543859
overall,ARCH_Eretmochelys_imbricata_IUCN,57,52,0.9122807017543859
overall,ARCH_Lepidochelys_olivacea_IUCN,23,21,0.9130434782608695
overall,ARCH_SKP,2,2,1
overall,ARCH_SWO,7,7,1
overall,CCAL_Caretta_caretta_IUCN,106,96,0.9056603773584906
overall,CCAL_Chelonia_mydas_IUCN,54,49,0.9074074074074074
overall,CCAL_Dermochelys_coriacea_IUCN,84,76,0.9047619047619048
overall,CCAL_Eretmochelys_imbricata_IUCN,106,96,0.9056603773584906
overall,CCAL_Lepidochelys_olivacea_IUCN,51,46,0.9019607843137255
overall,CHIL_Caretta_caretta_IUCN,24,22,0.9166666666666666
overall,CHIL_Chelonia_mydas_IUCN,24,22,0.9166666666666666
overall,CHIL_Dermochelys_coriacea_IUCN,19,18,0.9473684210526315
overall,CHIL_Eretmochelys_imbricata_IUCN,24,22,0.9166666666666666
overall,CHIL_Lepidochelys_olivacea_IUCN,24,22,0.9166666666666666
overall,CHIL_YFT,6,6,1
overall,KURO_Caretta_caretta_IUCN,108,98,0.9074074074074074
overall,KURO_Chelonia_mydas_IUCN,61,55,0.9016393442622951
overall,KURO_Dermochelys_coriacea_IUCN,108,98,0.9074074074074074
overall,KURO_Eretmochelys_imbricata_IUCN,108,98,0.9074074074074074
overall,No-Category_ALB,87,79,0.9080459770114943
overall,No-Category_Caretta_caretta_IUCN,514,463,0.9007782101167315
overall,No-Category_Chelonia_mydas_IUCN,396,357,0.9015151515151515
overall,No-Category_Dermochelys_coriacea_IUCN,472,425,0.9004237288135594
overall,No-Category_Eretmochelys_imbricata_IUCN,693,624,0.9004329004329005
overall,No-Category_Lepidochelys_olivacea_IUCN,93,84,0.9032258064516129
overall,No-Category_SKP,68,62,0.9117647058823529
overall,No-Category_SWO,134,125,0.9328358208955224
overall,No-Category_YFT,86,78,0.9069767441860465
overall,NPPF_Caretta_caretta_IUCN,891,802,0.9001122334455668
overall,NPPF_Chelonia_mydas_IUCN,163,152,0.9325153374233128
overall,NPPF_Dermochelys_coriacea_IUCN,891,802,0.9001122334455668
overall,NPPF_Eretmochelys_imbricata_IUCN,891,802,0.9001122334455668
overall,NPSW_ALB,746,658,0.8820375335120644
overall,NPSW_Caretta_caretta_IUCN,1230,1107,0.9
