summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,26,26,1
overall,ARCH_Caretta_caretta_IUCN,44,44,1
overall,ARCH_Chelonia_mydas_IUCN,44,44,1
overall,ARCH_Dermochelys_coriacea_IUCN,44,44,1
overall,ARCH_Eretmochelys_imbricata_IUCN,44,44,1
overall,ARCH_Lepidochelys_olivacea_IUCN,22,22,1
overall,ARCH_SKP,1,1,1
overall,ARCH_SWO,5,5,1
overall,CCAL_Caretta_caretta_IUCN,99,99,1
overall,CCAL_Chelonia_mydas_IUCN,37,37,1
overall,CCAL_Dermochelys_coriacea_IUCN,84,84,1
overall,CCAL_Eretmochelys_imbricata_IUCN,99,99,1
overall,CCAL_Lepidochelys_olivacea_IUCN,50,50,1
overall,CHIL_Caretta_caretta_IUCN,17,17,1
overall,CHIL_Chelonia_mydas_IUCN,17,17,1
overall,CHIL_Dermochelys_coriacea_IUCN,34,34,1
overall,CHIL_Eretmochelys_imbricata_IUCN,38,38,1
overall,CHIL_Lepidochelys_olivacea_IUCN,17,17,1
overall,CHIL_YFT,6,6,1
overall,KURO_Caretta_caretta_IUCN,87,87,1
overall,KURO_Chelonia_mydas_IUCN,39,39,1
overall,KURO_Dermochelys_coriacea_IUCN,87,87,1
overall,KURO_Eretmochelys_imbricata_IUCN,87,87,1
overall,No-Category_ALB,49,49,1
overall,No-Category_Caretta_caretta_IUCN,366,366,1
overall,No-Category_Chelonia_mydas_IUCN,222,222,1
overall,No-Category_Dermochelys_coriacea_IUCN,349,349,1
overall,No-Category_Eretmochelys_imbricata_IUCN,485,485,1
overall,No-Category_Lepidochelys_olivacea_IUCN,63,63,1
overall,No-Category_SKP,35,35,1
overall,No-Category_SWO,73,73,1
overall,No-Category_YFT,64,64,1
overall,NPPF_Caretta_caretta_IUCN,999,999,1
overall,NPPF_Chelonia_mydas_IUCN,136,136,1
overall,NPPF_Dermochelys_coriacea_IUCN,999,999,1
overall,NPPF_Eretmochelys_imbricata_IUCN,999,999,1
overall,NPSW_ALB,795,778,0.9786163522012579
overall,NPSW_Caretta_caretta_IUCN,1177,1177,1
overall,NPSW_Chelonia_mydas_IUCN,1177,1177,1
overall,NPSW_Dermochelys_coriacea_IUCN,1177,1177,1
overall,NPSW_Eretmochelys_imbricata_IUCN,1177,1177,1
overall,NPSW_Lepidochelys_olivacea_IUCN,123,123,1
overall,NPSW_SKP,388,384,0.9896907216494846
overall,NPSW_SWO,769,753,0.9791937581274383
overall,NPSW_YFT,57,57,1
overall,NPTG_ALB,237,236,0.9957805907172996
overall,NPTG_Caretta_caretta_IUCN,1186,1186,1
overall,NPTG_Chelonia_mydas_IUCN,1178,1178,1
overall,NPTG_Dermochelys_coriacea_IUCN,847,847,1
overall,NPTG_Eretmochelys_imbricata_IUCN,1186,1186,1
overall,NPTG_Lepidochelys_olivacea_IUCN,1,1,1
overall,NPTG_SKP,125,125,1
overall,NPTG_SWO,209,208,0.9952153110047847
overall,NPTG_YFT,42,42,1
overall,PEQD_ALB,100,100,1
overall,PEQD_Caretta_caretta_IUCN,1520,1520,1
overall,PEQD_Chelonia_mydas_IUCN,1520,1520,1
overall,PEQD_Dermochelys_coriacea_IUCN,1181,1181,1
overall,PEQD_Eretmochelys_imbricata_IUCN,1520,1520,1
overall,PEQD_Lepidochelys_olivacea_IUCN,680,680,1
overall,PEQD_SKP,128,128,1
overall,PEQD_SWO,437,433,0.9908466819221968
overall,PEQD_YFT,447,447,1
overall,PNEC_ALB,100,100,1
overall,PNEC_Caretta_caretta_IUCN,755,755,1
overall,PNEC_Chelonia_mydas_IUCN,755,755,1
overall,PNEC_Dermochelys_coriacea_IUCN,564,564,1
overall,PNEC_Eretmochelys_imbricata_IUCN,755,755,1
overall,PNEC_Lepidochelys_olivacea_IUCN,221,221,1
overall,PNEC_SKP,155,155,1
overall,PNEC_SWO,245,245,1
overall,PNEC_YFT,401,401,1
overall,PSAE_Caretta_caretta_IUCN,197,197,1
overall,PSAE_Dermochelys_coriacea_IUCN,197,197,1
overall,PSAE_Eretmochelys_imbricata_IUCN,197,197,1
overall,PSAW_Caretta_caretta_IUCN,240,240,1
overall,PSAW_Dermochelys_coriacea_IUCN,240,240,1
overall,PSAW_Eretmochelys_imbricata_IUCN,240,240,1
overall,SANT_Caretta_caretta_IUCN,18,18,1
overall,SANT_Eretmochelys_imbricata_IUCN,226,226,1
overall,SPSG_ALB,38,38,1
overall,SPSG_Caretta_caretta_IUCN,1665,1665,1
overall,SPSG_Chelonia_mydas_IUCN,865,865,1
overall,SPSG_Dermochelys_coriacea_IUCN,1489,1489,1
overall,SPSG_Eretmochelys_imbricata_IUCN,2139,2139,1
overall,SPSG_Lepidochelys_olivacea_IUCN,126,126,1
overall,SPSG_SKP,15,15,1
overall,SPSG_SWO,112,112,1
overall,SSTC_Caretta_caretta_IUCN,33,33,1
overall,SSTC_Dermochelys_coriacea_IUCN,28,28,1
overall,SSTC_Eretmochelys_imbricata_IUCN,505,505,1
overall,TASM_ALB,4,4,1
overall,TASM_Caretta_caretta_IUCN,89,89,1
overall,TASM_Chelonia_mydas_IUCN,61,61,1
overall,TASM_Dermochelys_coriacea_IUCN,87,87,1
