summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,31,24,0.7741935483870968
overall,ARCH_Caretta_caretta_IUCN,57,40,0.7017543859649122
overall,ARCH_Chelonia_mydas_IUCN,57,40,0.7017543859649122
overall,ARCH_Dermochelys_coriacea_IUCN,57,40,0.7017543859649122
overall,ARCH_Eretmochelys_imbricata_IUCN,57,40,0.7017543859649122
overall,ARCH_Lepidochelys_olivacea_IUCN,23,17,0.7391304347826086
overall,ARCH_SKP,2,2,1
overall,ARCH_SWO,7,5,0.7142857142857143
overall,CCAL_Caretta_caretta_IUCN,106,75,0.7075471698113207
overall,CCAL_Chelonia_mydas_IUCN,54,38,0.7037037037037037
overall,CCAL_Dermochelys_coriacea_IUCN,84,59,0.7023809523809523
overall,CCAL_Eretmochelys_imbricata_IUCN,106,75,0.7075471698113207
overall,CCAL_Lepidochelys_olivacea_IUCN,51,36,0.7058823529411765
overall,CHIL_Caretta_caretta_IUCN,24,17,0.7083333333333334
overall,CHIL_Chelonia_mydas_IUCN,24,17,0.7083333333333334
overall,CHIL_Dermochelys_coriacea_IUCN,19,14,0.7368421052631579
overall,CHIL_Eretmochelys_imbricata_IUCN,24,17,0.7083333333333334
overall,CHIL_Lepidochelys_olivacea_IUCN,24,17,0.7083333333333334
overall,CHIL_YFT,6,5,0.8333333333333334
overall,KURO_Caretta_caretta_IUCN,108,76,0.7037037037037037
overall,KURO_Chelonia_mydas_IUCN,61,43,0.7049180327868853
overall,KURO_Dermochelys_coriacea_IUCN,108,76,0.7037037037037037
overall,KURO_Eretmochelys_imbricata_IUCN,108,76,0.7037037037037037
overall,No-Category_ALB,87,61,0.7011494252873564
overall,No-Category_Caretta_caretta_IUCN,514,361,0.7023346303501945
overall,No-Category_Chelonia_mydas_IUCN,396,278,0.702020202020202
overall,No-Category_Dermochelys_coriacea_IUCN,472,331,0.701271186440678
overall,No-Category_Eretmochelys_imbricata_IUCN,693,486,0.7012987012987013
overall,No-Category_Lepidochelys_olivacea_IUCN,93,66,0.7096774193548387
overall,No-Category_SKP,68,52,0.7647058823529411
overall,No-Category_SWO,134,112,0.835820895522388
overall,No-Category_YFT,86,61,0.7093023255813954
overall,NPPF_Caretta_caretta_IUCN,891,624,0.7003367003367004
overall,NPPF_Chelonia_mydas_IUCN,163,132,0.8098159509202454
overall,NPPF_Dermochelys_coriacea_IUCN,891,624,0.7003367003367004
overall,NPPF_Eretmochelys_imbricata_IUCN,891,624,0.7003367003367004
overall,NPSW_ALB,746,512,0.6863270777479893
overall,NPSW_Caretta_caretta_IUCN,1230,861,0.7
overall,NPSW_Chelonia_mydas_IUCN,1230,861,0.7
overall,NPSW_Dermochelys_coriacea_IUCN,1230,861,0.7
overall,NPSW_Eretmochelys_imbricata_IUCN,1230,861,0.7
overall,NPSW_Lepidochelys_olivacea_IUCN,122,86,0.7049180327868853
overall,NPSW_SKP,386,268,0.694300518134715
overall,NPSW_SWO,715,491,0.6867132867132867
overall,NPSW_YFT,61,51,0.8360655737704918
overall,NPTG_ALB,343,238,0.6938775510204082
overall,NPTG_Caretta_caretta_IUCN,1654,1158,0.7001209189842805
overall,NPTG_Chelonia_mydas_IUCN,1647,1153,0.7000607164541591
overall,NPTG_Dermochelys_coriacea_IUCN,1157,810,0.700086430423509
overall,NPTG_Eretmochelys_imbricata_IUCN,1654,1158,0.7001209189842805
overall,NPTG_Lepidochelys_olivacea_IUCN,2,2,1
overall,NPTG_SKP,132,106,0.803030303030303
overall,NPTG_SWO,293,206,0.7030716723549488
overall,NPTG_YFT,38,27,0.7105263157894737
overall,PEQD_ALB,100,70,0.7
overall,PEQD_Caretta_caretta_IUCN,1535,1075,0.7003257328990228
overall,PEQD_Chelonia_mydas_IUCN,1535,1075,0.7003257328990228
overall,PEQD_Dermochelys_coriacea_IUCN,1208,846,0.7003311258278145
overall,PEQD_Eretmochelys_imbricata_IUCN,1535,1075,0.7003257328990228
overall,PEQD_Lepidochelys_olivacea_IUCN,701,491,0.7004279600570613
overall,PEQD_SKP,129,105,0.813953488372093
overall,PEQD_SWO,480,332,0.6916666666666667
overall,PEQD_YFT,487,338,0.6940451745379876
overall,PNEC_ALB,104,73,0.7019230769230769
overall,PNEC_Caretta_caretta_IUCN,789,553,0.7008871989860583
overall,PNEC_Chelonia_mydas_IUCN,789,553,0.7008871989860583
overall,PNEC_Dermochelys_coriacea_IUCN,632,443,0.7009493670886076
overall,PNEC_Eretmochelys_imbricata_IUCN,789,553,0.7008871989860583
overall,PNEC_Lepidochelys_olivacea_IUCN,183,129,0.7049180327868853
overall,PNEC_SKP,158,111,0.7025316455696202
overall,PNEC_SWO,299,224,0.7491638795986622
overall,PNEC_YFT,468,347,0.7414529914529915
overall,PSAE_Caretta_caretta_IUCN,227,159,0.7004405286343612
overall,PSAE_Dermochelys_coriacea_IUCN,227,159,0.7004405286343612
overall,PSAE_Eretmochelys_imbricata_IUCN,227,159,0.7004405286343612
overall,PSAW_Caretta_caretta_IUCN,168,118,0.7023809523809523
overall,PSAW_Dermochelys_coriacea_IUCN,168,118,0.7023809523809523
overall,PSAW_Eretmochelys_imbricata_IUCN,168,118,0.7023809523809523
overall,SANT_Caretta_caretta_IUCN,28,20,0.7142857142857143
overall,SANT_Eretmochelys_imbricata_IUCN,323,227,0.7027863777089783
overall,SPSG_ALB,42,30,0.7142857142857143
overall,SPSG_Caretta_caretta_IUCN,1667,1167,0.7000599880023995
overall,SPSG_Chelonia_mydas_IUCN,972,681,0.7006172839506173
overall,SPSG_Dermochelys_coriacea_IUCN,1600,1120,0.7
overall,SPSG_Eretmochelys_imbricata_IUCN,2123,1487,0.700423928403203
overall,SPSG_Lepidochelys_olivacea_IUCN,136,96,0.7058823529411765
overall,SPSG_SKP,16,12,0.75
overall,SPSG_SWO,90,76,0.8444444444444444
overall,SSTC_Caretta_caretta_IUCN,58,41,0.7068965517241379
overall,SSTC_Dermochelys_coriacea_IUCN,42,30,0.7142857142857143
overall,SSTC_Eretmochelys_imbricata_IUCN,798,559,0.7005012531328321
overall,TASM_ALB,3,3,1
overall,TASM_Caretta_caretta_IUCN,118,83,0.7033898305084746
overall,TASM_Chelonia_mydas_IUCN,65,46,0.7076923076923077
overall,TASM_Dermochelys_coriacea_IUCN,115,81,0.7043478260869566
