summary,feature,total_amount,absolute_held,relative_held
overall,SSTC_Eretmochelys_imbricata_IUCN,1739,435,0.25014376078205863
overall,TASM_ALB,6,3,0.5
overall,TASM_Caretta_caretta_IUCN,320,80,0.25
overall,TASM_Chelonia_mydas_IUCN,199,50,0.25125628140703515
overall,TASM_Dermochelys_coriacea_IUCN,315,79,0.2507936507936508
overall,TASM_Eretmochelys_imbricata_IUCN,320,80,0.25
overall,TASM_Lepidochelys_olivacea_IUCN,214,54,0.2523364485981308
overall,TASM_SWO,3,2,0.6666666666666666
overall,WARM_ALB,413,103,0.24939467312348668
overall,WARM_Caretta_caretta_IUCN,624,156,0.25
overall,WARM_Chelonia_mydas_IUCN,624,156,0.25
overall,WARM_Dermochelys_coriacea_IUCN,624,156,0.25
overall,WARM_Eretmochelys_imbricata_IUCN,624,156,0.25
overall,WARM_Lepidochelys_olivacea_IUCN,365,92,0.25205479452054796
overall,WARM_SKP,468,116,0.24786324786324787
overall,WARM_SWO,357,114,0.31932773109243695
overall,WARM_YFT,492,122,0.24796747967479674
