sum,retained,features,relative
4389,524,ALB,0.11938938254727728
2990,402,SKP,0.13444816053511705
5912,986,SWO,0.16677943166441137
3835,776,YFT,0.20234680573663624
23522,2932,Caretta_caretta_IUCN,0.12464926451832327
17198,2358,Chelonia_mydas_IUCN,0.13710896615885568
21133,2544,Dermochelys_coriacea_IUCN,0.12038044764112998
27998,3362,Eretmochelys_imbricata_IUCN,0.1200800057146939
4105,555,Lepidochelys_olivacea_IUCN,0.13520097442143728
