summary,feature,total_amount,absolute_held,relative_held
overall,ALB,1828,1734,0.9485776805251641
overall,Rep-1347,24,24,1
overall,Rep-2226,28,28,1
overall,Rep-3437,9286,9286,1
overall,Rep-4127,30,30,1
overall,Rep-5414,6,6,1
overall,SKP,1164,1164,1
overall,SWO,2526,2411,0.9544734758511481
overall,YFT,1474,1432,0.9715061058344641
