scenario1,scenario2,kappa_value,kappa_pvalue
SSP1-2.6,SSP1-2.6,1,0
SSP1-2.6,SSP2-4.5,0.52880321473208,0
SSP1-2.6,SSP5-8.5,0.428153377989471,0
SSP1-2.6,Uninformed,0.0497625972794136,0
SSP2-4.5,SSP1-2.6,0.52880321473208,0
SSP2-4.5,SSP2-4.5,1,0
SSP2-4.5,SSP5-8.5,0.43356506430875,0
SSP2-4.5,Uninformed,0.0611260236158641,0
SSP5-8.5,SSP1-2.6,0.428153377989471,0
SSP5-8.5,SSP2-4.5,0.43356506430875,0
SSP5-8.5,SSP5-8.5,1,0
SSP5-8.5,Uninformed,0.0732203072360326,0
Uninformed,SSP1-2.6,0.0497625972794136,0
Uninformed,SSP2-4.5,0.0611260236158641,0
Uninformed,SSP5-8.5,0.0732203072360326,0
Uninformed,Uninformed,1,0
