Latitude,Longitude,SST,Number,season,Bathymetry,BathymetrySD,species,Dist2Coast,ocean,Season2,Nitrate,MLD,Chl,pa,logPred
-1,134,28.8757305145264,1,janmarch,-1.6929125,892.601158,skipjack tuna,16.929432055472,pacific,2,0.54801,21.538232,0.167916,0,0.10255140585990465
-1,135,28.8708114624023,1,janmarch,-1.682892401,1651.211878,skipjack tuna,14.90988102592,pacific,2,0.48355,21.90304,0.173552,0,0.10195585517212877
-1,136,28.8146190643311,1,janmarch,-3.217927756,1586.442581,skipjack tuna,10.2281341051446,pacific,2,0.415183,22.590709,0.166844,0,0.09524381063445163
-1,137,29.0095672607422,1,octoberdec,-3.988073819,841.805795,skipjack tuna,25.243685717824,pacific,2,0.113055,26.379164,0.204195,0,0.12007023888107887
-1,137,28.6408386230469,1,janmarch,-3.988073819,841.805795,skipjack tuna,25.243685717824,pacific,2,0.331064,23.938866,0.150073,0,0.07951899844224157
-1,138,28.6446361541748,1,janmarch,-4.187404236,291.866431,skipjack tuna,26.0206452564704,pacific,2,0.243404,26.676152,0.171244,0,0.07987912188066283
-1,138,29.0556507110596,1,octoberdec,-4.187404236,291.866431,skipjack tuna,26.0206452564704,pacific,2,0.057468,28.949313,0.182151,0,0.1259901926189699
-1,139,29.0674133300781,1,octoberdec,-3.504049583,274.410533,skipjack tuna,61.65178647776,pacific,2,0.014671,30.845192,0.135538,0,0.1275555242182668
-1,141,29.1063194274902,4,octoberdec,-3.240471667,131.452661,skipjack tuna,120.34093408,pacific,2,0,37.139026,0.118168,1,0.132663783883929
-1,141,28.6563835144043,1,janmarch,-3.240471667,131.452661,skipjack tuna,120.34093408,pacific,2,0.080303,35.0831,0.164659,0,0.0810285753475064
-1,143,29.1584587097168,1,octoberdec,-3.459056319,478.592644,skipjack tuna,36.642133776,pacific,2,0.015415,39.454419,0.113704,0,0.13889929001636353
-1,143,28.6613101959229,1,janmarch,-3.459056319,478.592644,skipjack tuna,36.642133776,pacific,2,0.042498,37.897138,0.147207,0,0.08149624036228086
-1,144,28.7909507751465,4,julsept,-3.680397778,710.688759,skipjack tuna,22.55798074992,pacific,4,0.023219,32.117723,0.102083,1,0.10611131037303245
-1,144,28.7314777374268,2,janmarch,-3.680397778,710.688759,skipjack tuna,22.55798074992,pacific,2,0.042913,35.857308,0.177653,1,0.08718626222019417
-1,145,28.8853149414062,1,julsept,-3.294394024,1197.401045,skipjack tuna,44.4492120112,pacific,4,0.023655,28.449442,0.106861,0,0.11853300611938596
-1,145,28.8474979400635,1,janmarch,-3.294394024,1197.401045,skipjack tuna,44.4492120112,pacific,2,0.035312,32.451534,0.180042,0,0.09964539288559814
-1,145,29.1211471557617,1,apriljune,-3.294394024,1197.401045,skipjack tuna,44.4492120112,pacific,3,0.093961,29.957608,0.13731,0,0.11202654925152926
-1,145,29.2873020172119,1,octoberdec,-3.294394024,1197.401045,skipjack tuna,44.4492120112,pacific,2,0.033858,30.996907,0.101248,0,0.15220126071177448
-1,146,28.9988994598389,1,julsept,-3.363098125,1231.505439,skipjack tuna,52.180895256,pacific,4,0.027377,27.128685,0.104441,0,0.1348703574194131
-1,146,29.2110252380371,1,apriljune,-3.363098125,1231.505439,skipjack tuna,52.180895256,pacific,3,0.081425,28.86272,0.132736,0,0.12068344272023296
-1,146,28.9766273498535,3,janmarch,-3.363098125,1231.505439,skipjack tuna,52.180895256,pacific,2,0.022034,29.705723,0.166642,1,0.11605353294548719
-1,147,29.0981407165527,2,janmarch,-3.594820903,1305.709212,skipjack tuna,55.5145651407039,pacific,2,0.031377,27.996555,0.158976,1,0.1310726711239148
-1,147,29.0568904876709,1,julsept,-3.594820903,1305.709212,skipjack tuna,55.5145651407039,pacific,4,0.036431,28.035879,0.106125,0,0.1430260325609373
-1,147,29.3906879425049,1,octoberdec,-3.594820903,1305.709212,skipjack tuna,55.5145651407039,pacific,2,0.074551,26.463001,0.097089,0,0.16199609924635466
-1,148,29.0524559020996,3,julsept,-3.835138403,1280.57905,skipjack tuna,78.1074473600001,pacific,4,0.040579,29.040728,0.097286,1,0.14249143418427615
-1,148,29.4419689178467,2,octoberdec,-3.835138403,1280.57905,skipjack tuna,78.1074473600001,pacific,2,0.075509,25.794746,0.100669,1,0.16670921833587068
-1,149,29.4730949401855,2,octoberdec,-4.780283472,1276.129858,skipjack tuna,29.0129029968,pacific,2,0.069798,25.893457,0.100593,1,0.16954549162718843
-1,149,29.0792198181152,1,julsept,-4.780283472,1276.129858,skipjack tuna,29.0129029968,pacific,4,0.048196,29.34942,0.091296,0,0.14614853430935917
-1,150,29.4920921325684,1,octoberdec,-5.227451667,355.182897,skipjack tuna,63.1591196480001,pacific,2,0.077033,27.400498,0.101137,0,0.1713782799048788
-1,150,29.3529033660889,1,apriljune,-5.227451667,355.182897,skipjack tuna,63.1591196480001,pacific,3,0.047272,28.909966,0.092924,0,0.1332651882070017
-1,150,29.3147087097168,1,janmarch,-5.227451667,355.182897,skipjack tuna,63.1591196480001,pacific,2,0.033999,26.476419,0.132368,0,0.15462333544505857
-1,150,29.1293144226074,1,julsept,-5.227451667,355.182897,skipjack tuna,63.1591196480001,pacific,4,0.054148,29.890504,0.087067,0,0.152790505935153
