Latitude,Longitude,SST,Number,season,Bathymetry,BathymetrySD,Dist2Coast,Season2,Nitrate,MLD,Chl,pa,Preds
-1,166,29.1580677032471,0,octoberdec,-4.16379336,511.419956,120.01912576,2,0.434308,43.640758,0.12347,0,8.528354978901115e-4
-1,167,29.1024742126465,0,octoberdec,-4.204065208,218.959264,127.0339664,2,0.560536,45.028863,0.128102,0,8.353477443450669e-4
-1,167,28.8770904541016,0,janmarch,-4.204065208,218.959264,127.0339664,2,1.030311,47.499405,0.149037,0,8.922883375073436e-4
-1,168,29.0777282714844,0,octoberdec,-4.228135486,60.855634,134.55274656,2,0.503601,42.991721,0.136825,0,7.93247652818318e-4
-1,168,28.8788070678711,0,janmarch,-4.228135486,60.855634,134.55274656,2,1.477389,44.562096,0.154912,0,9.490198719447493e-4
-1,169,28.8389472961426,0,janmarch,-4.278730938,371.612466,74.5834708799999,2,1.871457,42.335538,0.153193,0,0.0010091970516344412
-1,170,29.0330581665039,0,apriljune,-4.436743472,126.028029,128.86677408,3,1.812165,38.726918,0.179189,0,6.786546892375294e-4
-1,170,28.7757949829102,0,janmarch,-4.436743472,126.028029,128.86677408,2,2.186567,42.333273,0.162569,0,0.0012106581044920798
-1,171,28.8507862091064,0,julsept,-4.400079306,180.233136,224.3878944,4,2.322167,37.821198,0.163949,0,4.310053420773829e-4
-1,173,28.8025360107422,0,julsept,-4.457814375,461.426471,130.041164,4,2.608463,43.554109,0.165547,0,5.299106953980603e-4
-1,178,28.5954608917236,0,julsept,-5.384086597,543.202165,217.5425344,4,1.089898,47.910867,0.174875,0,0.0011010977316329455
-1,179,28.7705764770508,0,octoberdec,-5.397614028,75.132306,322.486432,2,2.609372,55.783227,0.168578,0,0.002890588931489483
-1,179,28.2984752655029,0,janmarch,-5.397614028,75.132306,322.486432,2,0.470241,54.679411,0.177203,0,0.004226696160754239
-1,179,28.5740833282471,0,julsept,-5.397614028,75.132306,322.486432,4,0.834398,49.250926,0.175826,0,0.001250568387682289
-10,133,26.2979755401611,0,julsept,-0.130177639,37.469947,73.670718992,4,0.159768,41.729206,0.314746,0,1.7183226317166872e-5
-10,144,25.454345703125,0,julsept,-0.285555409,421.086781,85.4894282239999,4,0.208892,33.008867,0.326279,0,8.322658512242892e-5
-10,144,27.7644958496094,0,octoberdec,-0.285555409,421.086781,85.4894282239999,2,0.307625,11.463775,0.263153,0,0.001975124583407807
-10,145,27.5816421508789,0,octoberdec,-1.536510139,381.623941,161.6377072,2,0.124127,12.61602,0.18678,0,0.006632913642748461
-10,145,25.4568767547607,0,julsept,-1.536510139,381.623941,161.6377072,4,0.313503,35.67462,0.157691,0,0.0019031656434597092
-10,146,25.5125732421875,0,julsept,-1.644942187,677.644351,123.817724,4,0.304693,38.809192,0.307389,0,2.8169260742416836e-4
-10,146,27.4705104827881,0,octoberdec,-1.644942187,677.644351,123.817724,2,0.126244,14.706285,0.353647,0,1.2399760950886136e-4
-10,147,25.5590534210205,0,julsept,-1.017043234,820.907132,56.920540722688,4,0.026101,41.331682,0.408907,0,8.35330071926711e-6
-10,147,27.436372756958,0,octoberdec,-1.017043234,820.907132,56.920540722688,2,0.156193,17.215738,0.471401,0,3.309380575577406e-6
-10,151,26.3880615234375,0,julsept,-1.460482695,868.586127,12.18724898672,4,0.017651,32.263025,0.145341,0,0.007536758673371074
-10,151,27.9129219055176,0,octoberdec,-1.460482695,868.586127,12.18724898672,2,0.156242,19.905322,0.135696,0,0.011626669137391821
-10,151,27.7580738067627,0,apriljune,-1.460482695,868.586127,12.18724898672,3,0.231548,25.431368,0.206399,0,0.011010262428882114
-10,152,26.625804901123,0,julsept,-1.483658211,1021.527966,21.29231541232,4,0,33.549612,0.178204,0,0.011413622167842778
-10,153,28.2665863037109,0,octoberdec,-1.837788039,909.796277,61.7123775856,2,0.219082,24.96576,0.117318,0,0.016769018689069867
-10,153,26.8529682159424,0,julsept,-1.837788039,909.796277,61.7123775856,4,0,35.204607,0.145649,0,0.008938993744885555
-10,153,27.9765186309814,0,apriljune,-1.837788039,909.796277,61.7123775856,3,0.235529,27.763778,0.134252,0,0.007999704586133222
-10,154,28.1605758666992,0,apriljune,-3.205648681,627.028505,95.4106614400001,3,0.237397,28.790654,0.120892,0,0.009828418321312121
-10,154,29.2482738494873,0,janmarch,-3.205648681,627.028505,95.4106614400001,2,0.045125,19.100108,0.09807,0,0.01821830182895515
-10,154,27.0373229980469,0,julsept,-3.205648681,627.028505,95.4106614400001,4,0,36.148322,0.138661,0,0.008965827259825594
-10,154,28.4646778106689,0,octoberdec,-3.205648681,627.028505,95.4106614400001,2,0.248558,26.262597,0.122705,0,0.014146588523661983
-10,155,27.2008190155029,0,julsept,-3.479251875,305.101489,165.80035424,4,0,37.17322,0.136059,0,0.008696011671717825
-10,155,29.3307723999023,0,janmarch,-3.479251875,305.101489,165.80035424,2,0.052549,20.046119,0.107331,0,0.01211804334398597
-10,155,28.5715293884277,0,octoberdec,-3.479251875,305.101489,165.80035424,2,0.26457,26.925231,0.129608,0,0.012238446861976032
-10,155,28.3319282531738,0,apriljune,-3.479251875,305.101489,165.80035424,3,0.24202099999999999,30.08725,0.125505,0,0.00854841814784617
-10,156,27.3549690246582,0,julsept,-3.622256667,376.92045,211.8120368,4,0,38.836379,0.147135,0,0.007829997926289084
-10,156,28.5975914001465,0,octoberdec,-3.622256667,376.92045,211.8120368,2,0.247376,27.432136,0.118269,0,0.015666672440662124
-10,156,28.4821472167969,0,apriljune,-3.622256667,376.92045,211.8120368,3,0.213177,31.952222,0.122665,0,0.008597214546645183
