Latitude,Longitude,SST,Number,Season,Bathymetry,BathymetrySD,Species,Dist2Coast,Ocean,Season2,Nitrate,MLD,Chl,PA,Preds
-1,134,28.8757305145264,0,janmarch,-1.6929125,892.601158,yellowfin tuna,16.929432055472,pacific,2,0.54801,21.538232,0.167916,0,0.2993393360600862
-1,135,28.8708114624023,0,janmarch,-1.682892401,1651.211878,yellowfin tuna,14.90988102592,pacific,2,0.48355,21.90304,0.173552,0,0.3010219365788319
-1,136,28.8146190643311,0,janmarch,-3.217927756,1586.442581,yellowfin tuna,10.2281341051446,pacific,2,0.415183,22.590709,0.166844,0,0.30789457315706265
-1,137,29.0095672607422,0,octoberdec,-3.988073819,841.805795,yellowfin tuna,25.243685717824,pacific,2,0.113055,26.379164,0.204195,0,0.2889683510009931
-1,137,28.6408386230469,0,janmarch,-3.988073819,841.805795,yellowfin tuna,25.243685717824,pacific,2,0.331064,23.938866,0.150073,0,0.31886618402429745
-1,138,28.6446361541748,0,janmarch,-4.187404236,291.866431,yellowfin tuna,26.0206452564704,pacific,2,0.243404,26.676152,0.171244,0,0.30669792051656114
-1,138,29.0556507110596,0,octoberdec,-4.187404236,291.866431,yellowfin tuna,26.0206452564704,pacific,2,0.057468,28.949313,0.182151,0,0.29168080863357054
-1,139,29.0674133300781,0,octoberdec,-3.504049583,274.410533,yellowfin tuna,61.65178647776,pacific,2,0.014671,30.845192,0.135538,0,0.30402645529999917
-1,141,29.1063194274902,1,octoberdec,-3.240471667,131.452661,yellowfin tuna,120.34093408,pacific,2,0,37.139026,0.118168,1,0.2734902232668822
-1,141,28.6563835144043,0,janmarch,-3.240471667,131.452661,yellowfin tuna,120.34093408,pacific,2,0.080303,35.0831,0.164659,0,0.26741179136719995
-1,143,29.1584587097168,0,octoberdec,-3.459056319,478.592644,yellowfin tuna,36.642133776,pacific,2,0.015415,39.454419,0.113704,0,0.26033623820492313
-1,143,28.6613101959229,0,janmarch,-3.459056319,478.592644,yellowfin tuna,36.642133776,pacific,2,0.042498,37.897138,0.147207,0,0.2570817695701633
-1,144,28.7909507751465,1,julsept,-3.680397778,710.688759,yellowfin tuna,22.55798074992,pacific,4,0.023219,32.117723,0.102083,1,0.27627189225116133
-1,144,28.7314777374268,0,janmarch,-3.680397778,710.688759,yellowfin tuna,22.55798074992,pacific,2,0.042913,35.857308,0.177653,0,0.25044429743978464
-1,145,28.8853149414062,1,julsept,-3.294394024,1197.401045,yellowfin tuna,44.4492120112,pacific,4,0.023655,28.449442,0.106861,1,0.277201100239818
-1,145,28.8474979400635,0,janmarch,-3.294394024,1197.401045,yellowfin tuna,44.4492120112,pacific,2,0.035312,32.451534,0.180042,0,0.25768900980023385
-1,145,29.1211471557617,0,apriljune,-3.294394024,1197.401045,yellowfin tuna,44.4492120112,pacific,3,0.093961,29.957608,0.13731,0,0.27530248130930823
-1,145,29.2873020172119,0,octoberdec,-3.294394024,1197.401045,yellowfin tuna,44.4492120112,pacific,2,0.033858,30.996907,0.101248,0,0.299138177799833
-1,146,28.9988994598389,0,julsept,-3.363098125,1231.505439,yellowfin tuna,52.180895256,pacific,4,0.027377,27.128685,0.104441,0,0.27271033393293315
-1,146,29.2110252380371,0,apriljune,-3.363098125,1231.505439,yellowfin tuna,52.180895256,pacific,3,0.081425,28.86272,0.132736,0,0.27240036619295277
-1,146,28.9766273498535,0,janmarch,-3.363098125,1231.505439,yellowfin tuna,52.180895256,pacific,2,0.022034,29.705723,0.166642,0,0.26440046374423154
-1,147,29.0981407165527,0,janmarch,-3.594820903,1305.709212,yellowfin tuna,55.5145651407039,pacific,2,0.031377,27.996555,0.158976,0,0.26286349949493804
-1,147,29.0568904876709,0,julsept,-3.594820903,1305.709212,yellowfin tuna,55.5145651407039,pacific,4,0.036431,28.035879,0.106125,0,0.26112952319636756
-1,147,29.3906879425049,0,octoberdec,-3.594820903,1305.709212,yellowfin tuna,55.5145651407039,pacific,2,0.074551,26.463001,0.097089,0,0.2972475057834026
-1,148,29.0524559020996,0,julsept,-3.835138403,1280.57905,yellowfin tuna,78.1074473600001,pacific,4,0.040579,29.040728,0.097286,0,0.2549556504443893
-1,148,29.4419689178467,0,octoberdec,-3.835138403,1280.57905,yellowfin tuna,78.1074473600001,pacific,2,0.075509,25.794746,0.100669,0,0.2847414896505976
-1,149,29.4730949401855,0,octoberdec,-4.780283472,1276.129858,yellowfin tuna,29.0129029968,pacific,2,0.069798,25.893457,0.100593,0,0.27803547350461294
-1,149,29.0792198181152,0,julsept,-4.780283472,1276.129858,yellowfin tuna,29.0129029968,pacific,4,0.048196,29.34942,0.091296,0,0.25210303331447026
-1,150,29.4920921325684,0,octoberdec,-5.227451667,355.182897,yellowfin tuna,63.1591196480001,pacific,2,0.077033,27.400498,0.101137,0,0.2638573969918407
-1,150,29.3529033660889,0,apriljune,-5.227451667,355.182897,yellowfin tuna,63.1591196480001,pacific,3,0.047272,28.909966,0.092924,0,0.26015221604734806
-1,150,29.3147087097168,0,janmarch,-5.227451667,355.182897,yellowfin tuna,63.1591196480001,pacific,2,0.033999,26.476419,0.132368,0,0.24929549136482684
-1,150,29.1293144226074,0,julsept,-5.227451667,355.182897,yellowfin tuna,63.1591196480001,pacific,4,0.054148,29.890504,0.087067,0,0.24249824428595818
-1,151,29.1563987731934,0,julsept,-5.050030625,560.680853,yellowfin tuna,123.38230224,pacific,4,0.050031,30.99004,0.089504,0,0.2251278198200894
-1,151,29.3881092071533,0,apriljune,-5.050030625,560.680853,yellowfin tuna,123.38230224,pacific,3,0.011451,29.580037,0.091942,0,0.2461293408074776
-1,151,29.5048370361328,1,octoberdec,-5.050030625,560.680853,yellowfin tuna,123.38230224,pacific,2,0.084228,30.060049,0.106109,1,0.24136510365524502
-1,151,29.3548831939697,0,janmarch,-5.050030625,560.680853,yellowfin tuna,123.38230224,pacific,2,0.059159,28.662404,0.129934,0,0.23383362316544468
-1,152,29.1673183441162,0,julsept,-4.409655833,213.921419,yellowfin tuna,133.01516096,pacific,4,0.052576,30.463789,0.093833,0,0.2152277129527855
-1,152,29.501314163208,1,octoberdec,-4.409655833,213.921419,yellowfin tuna,133.01516096,pacific,2,0.095275,32.292102,0.103232,1,0.22613884645891683
-1,152,29.3941116333008,0,janmarch,-4.409655833,213.921419,yellowfin tuna,133.01516096,pacific,2,0.075127,31.878163,0.11964,0,0.2197943983167544
-1,152,29.4319438934326,0,apriljune,-4.409655833,213.921419,yellowfin tuna,133.01516096,pacific,3,0.010567,30.100365,0.095092,0,0.2328264394967309
-1,153,29.4603977203369,1,octoberdec,-3.938432847,323.447253,yellowfin tuna,169.43854768,pacific,2,0.107249,33.26046,0.096333,1,0.21642361625931683
-1,153,29.1285400390625,0,julsept,-3.938432847,323.447253,yellowfin tuna,169.43854768,pacific,4,0.057798,29.352547,0.094918,0,0.20800828779806682
-1,153,29.4305019378662,0,apriljune,-3.938432847,323.447253,yellowfin tuna,169.43854768,pacific,3,0.010484,31.006877,0.094105,0,0.22009850156368688
-1,154,29.3823280334473,0,apriljune,-2.878315347,336.530253,yellowfin tuna,181.0850736,pacific,3,0.032559,32.411746,0.095891,0,0.2062309510401658
-1,154,29.3902015686035,0,octoberdec,-2.878315347,336.530253,yellowfin tuna,181.0850736,pacific,2,0.115346,33.825212,0.09498,0,0.20732989853506273
-1,155,28.9912796020508,0,julsept,-2.083151806,153.293982,yellowfin tuna,213.666832,pacific,4,0.085314,30.970564,0.089715,0,0.19099680151007153
-1,155,29.3265266418457,0,octoberdec,-2.083151806,153.293982,yellowfin tuna,213.666832,pacific,2,0.142724,34.474588,0.090044,0,0.19890466260565162
