Latitude,Longitude,SST,Number,season,Bathymetry,BathymetrySD,Dist2Coast,Season2,Nitrate,MLD,Chl,pa,Preds
-1,157,29.26156,0,apriljune,-2.072355,111.4223,354.542,3,0.2466,35.93057,0.107662,0,0.002274458784739452
-1,157,29.19312,0,octoberdec,-2.072355,111.4223,354.542,2,0.174108,37.61411,0.097706,0,0.004473265865216761
-1,157,28.94402,0,julsept,-2.072355,111.4223,354.542,4,0.055981,32.97242,0.090963,0,0.003472396062071316
-1,158,29.12422,0,janmarch,-2.180103,56.30284,351.965,2,0.474946,39.66411,0.11899,0,0.003856377285346764
-1,158,29.27078,0,apriljune,-2.180103,56.30284,351.965,3,0.428272,33.78023,0.111254,0,0.0020411026664087263
-1,158,29.1057,0,octoberdec,-2.180103,56.30284,351.965,2,0.217306,37.3915,0.108043,0,0.004017136108138953
-1,158,28.95163,0,julsept,-2.180103,56.30284,351.965,4,0.041235,31.37144,0.093789,0,0.0031126118671856474
-1,159,29.0904,0,octoberdec,-2.518708,211.5669,335.1435,2,0.430793,34.88721,0.114814,0,0.0036296251452776805
-1,159,29.00544,0,julsept,-2.518708,211.5669,335.1435,4,0.004101,28.64986,0.091574,0,0.0028480380253748444
-1,160,29.16119,0,octoberdec,-2.941997,150.6163,354.21,2,0.52588,32.887,0.11938,0,0.0033277622302772735
-1,160,29.07184,0,julsept,-2.941997,150.6163,354.21,4,0.003852,26.81649,0.091455,0,0.0025441148160072016
-1,161,29.10859,0,julsept,-3.753172,365.9818,404.1251,4,0,26.03814,0.094131,0,0.0023219433091235826
-1,161,29.243,0,octoberdec,-3.753172,365.9818,404.1251,2,0.535599,32.52179,0.115647,0,0.003065217108040412
-1,162,29.07917,0,janmarch,-4.361796,105.6171,461.3618,2,0.030551,38.03017,0.116052,0,0.003313697138991225
-1,162,29.29505,0,octoberdec,-4.361796,105.6171,461.3618,2,0.419214,33.76378,0.120359,0,0.0026016195473392333
-1,162,29.22794,0,apriljune,-4.361796,105.6171,461.3618,3,1.455382,31.84731,0.145227,0,0.006541417977252048
-1,162,29.11166,0,julsept,-4.361796,105.6171,461.3618,4,0,27.4538,0.100158,0,0.00215689150581953
-1,163,29.03458,0,janmarch,-4.441907,28.37459,395.1675,2,0.046617,40.90015,0.11497,0,0.0033197732193262297
-1,164,29.29996,0,octoberdec,-4.419609,22.81422,290.1361,2,0.267349,38.58453,0.129714,0,0.002352913349927322
-1,164,29.190550000000002,0,apriljune,-4.419609,22.81422,290.1361,3,1.662824,38.18277,0.154889,0,0.008082063642167485
-1,165,29.11852,0,julsept,-4.397538,53.27001,192.2877,4,0.059856,36.16438,0.130672,0,0.0017268283259856418
-1,165,29.1672,0,apriljune,-4.397538,53.27001,192.2877,3,1.982516,40.95652,0.16552,0,0.009446969646706141
-1,165,28.91025,0,janmarch,-4.397538,53.27001,192.2877,2,0.312327,45.55478,0.150733,0,0.0027331857283093503
-1,166,29.15348,0,apriljune,-4.163793,511.42,120.0191,3,2.304916,43.44439,0.169882,0,0.008762759025907296
-1,166,29.15807,0,octoberdec,-4.163793,511.42,120.0191,2,0.434308,43.64076,0.12347,0,0.002800447983723556
-1,167,29.10247,0,octoberdec,-4.204065,218.9593,127.034,2,0.560536,45.02886,0.128102,0,0.003184224585753075
-1,167,28.87709,0,janmarch,-4.204065,218.9593,127.034,2,1.030311,47.49941,0.149037,0,0.006679047683411999
-1,168,29.07773,0,octoberdec,-4.228135,60.85563,134.5527,2,0.503601,42.99172,0.136825,0,0.003116878141384707
-1,168,28.87881,0,janmarch,-4.228135,60.85563,134.5527,2,1.477389,44.5621,0.154912,0,0.0152539042160843
-1,169,28.83895,0,janmarch,-4.278731,371.6125,74.58347,2,1.871457,42.33554,0.153193,0,0.024824531659335517
-1,170,29.03306,0,apriljune,-4.436743,126.028,128.8668,3,1.812165,38.72692,0.179189,0,0.011523890753674158
-1,170,28.77579,0,janmarch,-4.436743,126.028,128.8668,2,2.186567,42.33327,0.162569,0,0.026752942233905275
-1,171,28.85079,0,julsept,-4.400079,180.2331,224.3879,4,2.322167,37.8212,0.163949,0,0.015626999044334816
-1,173,28.80254,0,julsept,-4.457814,461.4265,130.0412,4,2.608463,43.55411,0.165547,0,0.015235413928959133
-1,178,28.59546,0,julsept,-5.384087,543.2022,217.5425,4,1.089898,47.91087,0.174875,0,0.01317202456335546
-1,179,28.77058,0,octoberdec,-5.397614,75.13231,322.4864,2,2.609372,55.78323,0.168578,0,0.04795513787734653
-1,179,28.29848,0,janmarch,-5.397614,75.13231,322.4864,2,0.470241,54.67941,0.177203,0,0.012150353424013417
-1,179,28.57408,0,julsept,-5.397614,75.13231,322.4864,4,0.834398,49.25093,0.175826,0,0.009342784793669229
-10,133,26.29798,0,julsept,-0.1301776,37.46995,73.67072,4,0.159768,41.72921,0.314746,0,0.08518863199113767
-10,144,25.45435,0,julsept,-0.2855554,421.0868,85.48943,4,0.208892,33.00887,0.326279,0,0.06405683768955613
-10,144,27.7645,0,octoberdec,-0.2855554,421.0868,85.48943,2,0.307625,11.46378,0.263153,0,0.11113268093115075
-10,145,27.58164,1,octoberdec,-1.53651,381.6239,161.6377,2,0.124127,12.61602,0.18678,1,0.1659561624403751
-10,145,25.45688,0,julsept,-1.53651,381.6239,161.6377,4,0.313503,35.67462,0.157691,0,0.1310838187519965
-10,146,25.51257,0,julsept,-1.644942,677.6444,123.8177,4,0.304693,38.80919,0.307389,0,0.0600702075267341
-10,146,27.47051,0,octoberdec,-1.644942,677.6444,123.8177,2,0.126244,14.70628,0.353647,0,0.07355802683581472
-10,147,25.55905,0,julsept,-1.017043,820.9071,56.92054,4,0.026101,41.33168,0.408907,0,0.03617983726273609
-10,147,27.43637,0,octoberdec,-1.017043,820.9071,56.92054,2,0.156193,17.21574,0.471401,0,0.03692127937467279
-10,151,26.38806,0,julsept,-1.460483,868.5861,12.18725,4,0.017651,32.26302,0.145341,0,0.08580545923345796
-10,151,27.91292,0,octoberdec,-1.460483,868.5861,12.18725,2,0.156242,19.90532,0.135696,0,0.08780887152867461
-10,151,27.75807,0,apriljune,-1.460483,868.5861,12.18725,3,0.231548,25.43137,0.206399,0,0.03876898185323512
-10,152,26.6258,0,julsept,-1.483658,1021.528,21.29232,4,0,33.54961,0.178204,0,0.06205066260070345
