Latitude,Longitude,SST,Number,season,Bathymetry,BathymetrySD,species,Dist2Coast,ocean,Season2,Nitrate,MLD,Chl,pa,logPred
-1,134,28.8757305145264,1,janmarch,-1.6929125,892.601158,swordfish,16.929432055472,pacific,2,0.54801,21.538232,0.167916,0,0.012695018141220166
-1,135,28.8708114624023,1,janmarch,-1.682892401,1651.211878,swordfish,14.90988102592,pacific,2,0.48355,21.90304,0.173552,0,0.012752370982758497
-1,136,28.8146190643311,1,janmarch,-3.217927756,1586.442581,swordfish,10.2281341051446,pacific,2,0.415183,22.590709,0.166844,0,0.01370027564694074
-1,137,29.0095672607422,1,octoberdec,-3.988073819,841.805795,swordfish,25.243685717824,pacific,2,0.113055,26.379164,0.204195,0,0.010050161683922183
-1,137,28.6408386230469,1,janmarch,-3.988073819,841.805795,swordfish,25.243685717824,pacific,2,0.331064,23.938866,0.150073,0,0.01660504909074944
-1,138,28.6446361541748,1,janmarch,-4.187404236,291.866431,swordfish,26.0206452564704,pacific,2,0.243404,26.676152,0.171244,0,0.0162476152435677
-1,138,29.0556507110596,1,octoberdec,-4.187404236,291.866431,swordfish,26.0206452564704,pacific,2,0.057468,28.949313,0.182151,0,0.009166397894079688
-1,139,29.0674133300781,1,octoberdec,-3.504049583,274.410533,swordfish,61.65178647776,pacific,2,0.014671,30.845192,0.135538,0,0.008876681719611913
-1,141,29.1063194274902,1,octoberdec,-3.240471667,131.452661,swordfish,120.34093408,pacific,2,0,37.139026,0.118168,0,0.007971369628092606
-1,141,28.6563835144043,1,janmarch,-3.240471667,131.452661,swordfish,120.34093408,pacific,2,0.080303,35.0831,0.164659,0,0.015192534928459353
-1,143,29.1584587097168,1,octoberdec,-3.459056319,478.592644,swordfish,36.642133776,pacific,2,0.015415,39.454419,0.113704,0,0.007167408250202659
-1,143,28.6613101959229,1,janmarch,-3.459056319,478.592644,swordfish,36.642133776,pacific,2,0.042498,37.897138,0.147207,0,0.01483849181903544
-1,144,28.7909507751465,1,julsept,-3.680397778,710.688759,swordfish,22.55798074992,pacific,4,0.023219,32.117723,0.102083,0,0.015530308417657873
-1,144,28.7314777374268,1,janmarch,-3.680397778,710.688759,swordfish,22.55798074992,pacific,2,0.042913,35.857308,0.177653,0,0.013918883496063494
-1,145,28.8853149414062,1,julsept,-3.294394024,1197.401045,swordfish,44.4492120112,pacific,4,0.023655,28.449442,0.106861,0,0.014010845610687977
-1,145,28.8474979400635,1,janmarch,-3.294394024,1197.401045,swordfish,44.4492120112,pacific,2,0.035312,32.451534,0.180042,0,0.012285957101317583
-1,145,29.1211471557617,1,apriljune,-3.294394024,1197.401045,swordfish,44.4492120112,pacific,3,0.093961,29.957608,0.13731,0,0.0053963065447339455
-1,145,29.2873020172119,1,octoberdec,-3.294394024,1197.401045,swordfish,44.4492120112,pacific,2,0.033858,30.996907,0.101248,0,0.0059873462133609445
-1,146,28.9988994598389,1,julsept,-3.363098125,1231.505439,swordfish,52.180895256,pacific,4,0.027377,27.128685,0.104441,0,0.011913702240124684
-1,146,29.2110252380371,1,apriljune,-3.363098125,1231.505439,swordfish,52.180895256,pacific,3,0.081425,28.86272,0.132736,0,0.004630881642057261
-1,146,28.9766273498535,1,janmarch,-3.363098125,1231.505439,swordfish,52.180895256,pacific,2,0.022034,29.705723,0.166642,0,0.010356282327853534
