sum,retained,features,relative
413,37,WARM_ALB,0.08958837772397095
1658,148,NPSW_ALB,0.08926417370325694
178,11,No-Category_ALB,0.06179775280898876
6,3,TASM_ALB,0.5
83,5,ARCH_ALB,0.060240963855421686
137,11,SPSG_ALB,0.08029197080291971
222,29,PNEC_ALB,0.13063063063063063
721,43,NPTG_ALB,0.059639389736477116
199,15,PEQD_ALB,0.07537688442211055
468,40,WARM_SKP,0.08547008547008547
853,67,NPSW_SKP,0.07854630715123095
135,11,No-Category_SKP,0.08148148148148149
4,0,ARCH_SKP,0
53,7,SPSG_SKP,0.1320754716981132
264,30,NPTG_SKP,0.11363636363636363
279,101,PEQD_SKP,0.36200716845878134
355,94,PNEC_SKP,0.2647887323943662
357,39,WARM_SWO,0.1092436974789916
1586,150,NPSW_SWO,0.09457755359394704
272,12,No-Category_SWO,0.04411764705882353
3,2,TASM_SWO,0.6666666666666666
15,2,ARCH_SWO,0.13333333333333333
315,24,SPSG_SWO,0.0761904761904762
959,186,PEQD_SWO,0.19395203336809178
680,167,PNEC_SWO,0.24558823529411763
617,42,NPTG_SWO,0.06807131280388978
492,42,WARM_YFT,0.08536585365853659
135,11,NPSW_YFT,0.08148148148148149
170,6,No-Category_YFT,0.03529411764705882
1031,201,PEQD_YFT,0.19495635305528614
1074,213,PNEC_YFT,0.19832402234636873
81,11,NPTG_YFT,0.13580246913580246
11,1,CHIL_YFT,0.09090909090909091
9,2,NPSW_Rep-1347,0.2222222222222222
33,4,ARCH_Rep-1347,0.12121212121212122
1,1,WARM_Rep-1347,1
4,0,SSTC_Rep-1347,0
3,0,No-Category_Rep-1347,0
28,5,SPSG_Rep-1347,0.17857142857142858
9,2,NPSW_Rep-2226,0.2222222222222222
33,4,ARCH_Rep-2226,0.12121212121212122
1,1,WARM_Rep-2226,1
23,3,SPSG_Rep-2226,0.13043478260869565
624,53,WARM_Rep-3437,0.08493589743589744
2460,270,NPSW_Rep-3437,0.10975609756097561
1650,83,No-Category_Rep-3437,0.0503030303030303
214,7,KURO_Rep-3437,0.03271028037383177
183,7,PSAW_Rep-3437,0.03825136612021858
1739,51,SSTC_Rep-3437,0.029327199539965498
320,12,TASM_Rep-3437,0.0375
1765,141,SANT_Rep-3437,0.07988668555240794
2440,234,NPPF_Rep-3437,0.0959016393442623
167,5,ARCH_Rep-3437,0.029940119760479042
5504,270,SPSG_Rep-3437,0.04905523255813953
425,4,PSAE_Rep-3437,0.009411764705882352
2933,202,NPTG_Rep-3437,0.06887146266621207
3424,418,PEQD_Rep-3437,0.12207943925233646
1905,270,PNEC_Rep-3437,0.14173228346456693
208,29,CCAL_Rep-3437,0.13942307692307693
82,10,CHIL_Rep-3437,0.12195121951219512
9,2,NPSW_Rep-4127,0.2222222222222222
36,4,ARCH_Rep-4127,0.1111111111111111
1,1,WARM_Rep-4127,1
27,3,SPSG_Rep-4127,0.1111111111111111
1,1,NPSW_Rep-5414,1
5,1,ARCH_Rep-5414,0.2
15,1,SPSG_Rep-5414,0.06666666666666667
