sum,retained,features,relative
413,31,WARM_ALB,0.07506053268765134
1658,116,NPSW_ALB,0.06996381182147166
178,11,No-Category_ALB,0.06179775280898876
6,3,TASM_ALB,0.5
83,4,ARCH_ALB,0.04819277108433735
137,7,SPSG_ALB,0.051094890510948905
222,23,PNEC_ALB,0.1036036036036036
721,24,NPTG_ALB,0.033287101248266296
199,12,PEQD_ALB,0.06030150753768844
468,33,WARM_SKP,0.07051282051282051
853,47,NPSW_SKP,0.05509964830011723
135,11,No-Category_SKP,0.08148148148148149
4,0,ARCH_SKP,0
53,5,SPSG_SKP,0.09433962264150944
264,22,NPTG_SKP,0.08333333333333333
279,80,PEQD_SKP,0.2867383512544803
355,70,PNEC_SKP,0.19718309859154928
357,32,WARM_SWO,0.0896358543417367
1586,118,NPSW_SWO,0.07440100882723834
272,10,No-Category_SWO,0.03676470588235294
3,2,TASM_SWO,0.6666666666666666
15,2,ARCH_SWO,0.13333333333333333
315,18,SPSG_SWO,0.05714285714285714
959,149,PEQD_SWO,0.1553701772679875
680,133,PNEC_SWO,0.19558823529411765
617,23,NPTG_SWO,0.03727714748784441
492,36,WARM_YFT,0.07317073170731707
135,6,NPSW_YFT,0.044444444444444446
170,5,No-Category_YFT,0.029411764705882353
1031,163,PEQD_YFT,0.15809893307468478
1074,163,PNEC_YFT,0.15176908752327747
81,4,NPTG_YFT,0.04938271604938271
11,1,CHIL_YFT,0.09090909090909091
9,2,NPSW_Rep-1347,0.2222222222222222
33,3,ARCH_Rep-1347,0.09090909090909091
1,1,WARM_Rep-1347,1
4,0,SSTC_Rep-1347,0
3,0,No-Category_Rep-1347,0
28,5,SPSG_Rep-1347,0.17857142857142858
9,2,NPSW_Rep-2226,0.2222222222222222
33,3,ARCH_Rep-2226,0.09090909090909091
1,1,WARM_Rep-2226,1
23,4,SPSG_Rep-2226,0.17391304347826086
624,43,WARM_Rep-3437,0.06891025641025642
2460,216,NPSW_Rep-3437,0.08780487804878048
1650,71,No-Category_Rep-3437,0.04303030303030303
214,7,KURO_Rep-3437,0.03271028037383177
183,5,PSAW_Rep-3437,0.0273224043715847
1739,34,SSTC_Rep-3437,0.019551466359977
320,12,TASM_Rep-3437,0.0375
1765,133,SANT_Rep-3437,0.07535410764872522
2440,188,NPPF_Rep-3437,0.07704918032786885
167,4,ARCH_Rep-3437,0.023952095808383235
5504,242,SPSG_Rep-3437,0.043968023255813955
425,0,PSAE_Rep-3437,0
2933,139,NPTG_Rep-3437,0.047391749062393455
3424,349,PEQD_Rep-3437,0.10192757009345794
1905,208,PNEC_Rep-3437,0.10918635170603674
208,23,CCAL_Rep-3437,0.11057692307692307
82,8,CHIL_Rep-3437,0.0975609756097561
9,2,NPSW_Rep-4127,0.2222222222222222
36,3,ARCH_Rep-4127,0.08333333333333333
1,1,WARM_Rep-4127,1
27,4,SPSG_Rep-4127,0.14814814814814814
1,1,NPSW_Rep-5414,1
5,1,ARCH_Rep-5414,0.2
15,1,SPSG_Rep-5414,0.06666666666666667
