sum,retained,features,relative
413,47,WARM_ALB,0.11380145278450363
1658,415,NPSW_ALB,0.2503015681544029
178,39,No-Category_ALB,0.21910112359550563
6,4,TASM_ALB,0.6666666666666666
83,9,ARCH_ALB,0.10843373493975904
137,30,SPSG_ALB,0.21897810218978103
222,56,PNEC_ALB,0.25225225225225223
721,135,NPTG_ALB,0.18723994452149792
199,58,PEQD_ALB,0.2914572864321608
468,52,WARM_SKP,0.1111111111111111
853,206,NPSW_SKP,0.24150058616647127
135,33,No-Category_SKP,0.24444444444444444
4,1,ARCH_SKP,0.25
53,14,SPSG_SKP,0.2641509433962264
264,98,NPTG_SKP,0.3712121212121212
279,145,PEQD_SKP,0.5197132616487455
355,201,PNEC_SKP,0.5661971830985916
357,72,WARM_SWO,0.20168067226890757
1586,408,NPSW_SWO,0.2572509457755359
272,58,No-Category_SWO,0.21323529411764705
3,3,TASM_SWO,1
15,5,ARCH_SWO,0.3333333333333333
315,69,SPSG_SWO,0.21904761904761905
959,346,PEQD_SWO,0.3607924921793535
680,332,PNEC_SWO,0.48823529411764705
617,125,NPTG_SWO,0.2025931928687196
492,74,WARM_YFT,0.15040650406504066
135,32,NPSW_YFT,0.23703703703703705
170,39,No-Category_YFT,0.22941176470588234
1031,338,PEQD_YFT,0.32783705140640157
1074,412,PNEC_YFT,0.38361266294227186
81,58,NPTG_YFT,0.7160493827160493
11,6,CHIL_YFT,0.5454545454545454
9,3,NPSW_Rep-1347,0.3333333333333333
33,7,ARCH_Rep-1347,0.21212121212121213
1,1,WARM_Rep-1347,1
4,0,SSTC_Rep-1347,0
3,0,No-Category_Rep-1347,0
28,16,SPSG_Rep-1347,0.5714285714285714
9,3,NPSW_Rep-2226,0.3333333333333333
33,7,ARCH_Rep-2226,0.21212121212121213
1,1,WARM_Rep-2226,1
23,11,SPSG_Rep-2226,0.4782608695652174
624,90,WARM_Rep-3437,0.14423076923076922
2460,705,NPSW_Rep-3437,0.2865853658536585
1650,219,No-Category_Rep-3437,0.13272727272727272
214,17,KURO_Rep-3437,0.0794392523364486
183,18,PSAW_Rep-3437,0.09836065573770492
1739,167,SSTC_Rep-3437,0.09603220241518114
320,28,TASM_Rep-3437,0.0875
1765,184,SANT_Rep-3437,0.10424929178470255
2440,553,NPPF_Rep-3437,0.2266393442622951
167,9,ARCH_Rep-3437,0.05389221556886228
5504,452,SPSG_Rep-3437,0.08212209302325581
425,88,PSAE_Rep-3437,0.20705882352941177
2933,565,NPTG_Rep-3437,0.19263552676440504
3424,695,PEQD_Rep-3437,0.20297897196261683
1905,534,PNEC_Rep-3437,0.2803149606299213
208,58,CCAL_Rep-3437,0.27884615384615385
82,23,CHIL_Rep-3437,0.2804878048780488
9,3,NPSW_Rep-4127,0.3333333333333333
36,8,ARCH_Rep-4127,0.2222222222222222
1,1,WARM_Rep-4127,1
27,11,SPSG_Rep-4127,0.4074074074074074
1,1,NPSW_Rep-5414,1
5,2,ARCH_Rep-5414,0.4
15,4,SPSG_Rep-5414,0.26666666666666666
