sum,retained,features,relative
413,45,WARM_ALB,0.1089588377723971
1658,317,NPSW_ALB,0.19119420989143546
178,25,No-Category_ALB,0.1404494382022472
6,4,TASM_ALB,0.6666666666666666
83,8,ARCH_ALB,0.0963855421686747
137,21,SPSG_ALB,0.15328467153284672
222,49,PNEC_ALB,0.22072072072072071
721,114,NPTG_ALB,0.15811373092926492
199,46,PEQD_ALB,0.23115577889447236
468,52,WARM_SKP,0.1111111111111111
853,167,NPSW_SKP,0.19577960140679954
135,23,No-Category_SKP,0.17037037037037037
4,1,ARCH_SKP,0.25
53,11,SPSG_SKP,0.20754716981132076
264,79,NPTG_SKP,0.29924242424242425
279,136,PEQD_SKP,0.4874551971326165
355,164,PNEC_SKP,0.4619718309859155
357,67,WARM_SWO,0.1876750700280112
1586,313,NPSW_SWO,0.19735182849936947
272,40,No-Category_SWO,0.14705882352941177
3,3,TASM_SWO,1
15,4,ARCH_SWO,0.26666666666666666
315,55,SPSG_SWO,0.1746031746031746
959,291,PEQD_SWO,0.3034410844629823
680,286,PNEC_SWO,0.42058823529411765
617,105,NPTG_SWO,0.17017828200972449
492,69,WARM_YFT,0.1402439024390244
135,27,NPSW_YFT,0.2
170,28,No-Category_YFT,0.16470588235294117
1031,296,PEQD_YFT,0.2870999030067895
1074,355,PNEC_YFT,0.33054003724394787
81,49,NPTG_YFT,0.6049382716049383
11,4,CHIL_YFT,0.36363636363636365
9,3,NPSW_Rep-1347,0.3333333333333333
33,7,ARCH_Rep-1347,0.21212121212121213
1,1,WARM_Rep-1347,1
4,0,SSTC_Rep-1347,0
3,0,No-Category_Rep-1347,0
28,12,SPSG_Rep-1347,0.42857142857142855
9,3,NPSW_Rep-2226,0.3333333333333333
33,7,ARCH_Rep-2226,0.21212121212121213
1,1,WARM_Rep-2226,1
23,8,SPSG_Rep-2226,0.34782608695652173
624,84,WARM_Rep-3437,0.1346153846153846
2460,553,NPSW_Rep-3437,0.22479674796747967
1650,162,No-Category_Rep-3437,0.09818181818181818
214,14,KURO_Rep-3437,0.06542056074766354
183,14,PSAW_Rep-3437,0.07650273224043716
1739,163,SSTC_Rep-3437,0.09373202990224266
320,21,TASM_Rep-3437,0.065625
1765,175,SANT_Rep-3437,0.09915014164305949
2440,469,NPPF_Rep-3437,0.19221311475409836
167,8,ARCH_Rep-3437,0.04790419161676647
5504,382,SPSG_Rep-3437,0.06940406976744186
425,68,PSAE_Rep-3437,0.16
2933,467,NPTG_Rep-3437,0.15922263893624275
3424,615,PEQD_Rep-3437,0.1796144859813084
1905,464,PNEC_Rep-3437,0.24356955380577427
208,51,CCAL_Rep-3437,0.24519230769230768
82,18,CHIL_Rep-3437,0.21951219512195122
9,3,NPSW_Rep-4127,0.3333333333333333
36,7,ARCH_Rep-4127,0.19444444444444445
1,1,WARM_Rep-4127,1
27,8,SPSG_Rep-4127,0.2962962962962963
1,1,NPSW_Rep-5414,1
5,2,ARCH_Rep-5414,0.4
15,2,SPSG_Rep-5414,0.13333333333333333
