summary,feature,total_amount,absolute_held,relative_held
overall,ALB,4389,299,0.06812485759854181
overall,Caretta_caretta_IUCN,23522,2064,0.08774764050675964
overall,Chelonia_mydas_IUCN,17198,1290,0.07500872194441215
overall,Dermochelys_coriacea_IUCN,21133,1932,0.09142100033123551
overall,Eretmochelys_imbricata_IUCN,27998,2100,0.07500535752553754
overall,Lepidochelys_olivacea_IUCN,4105,391,0.09524969549330085
overall,SKP,2990,211,0.0705685618729097
overall,SWO,5912,432,0.07307171853856563
overall,YFT,3835,265,0.06910039113428944
