summary,feature,total_amount,absolute_held,relative_held
overall,ALB,4389,489,0.1114149008885851
overall,Caretta_caretta_IUCN,23522,2984,0.12685996088767962
overall,Chelonia_mydas_IUCN,17198,2150,0.12501453657402023
overall,Dermochelys_coriacea_IUCN,21133,2661,0.1259168125680216
overall,Eretmochelys_imbricata_IUCN,27998,3500,0.12500892920922924
overall,Lepidochelys_olivacea_IUCN,4105,514,0.12521315468940317
overall,SKP,2990,346,0.1157190635451505
overall,SWO,5912,748,0.12652232746955344
overall,YFT,3835,473,0.12333767926988266
