summary,feature,total_amount,absolute_held,relative_held
overall,ALB,4389,205,0.046707678286625656
overall,Caretta_caretta_IUCN,23522,1400,0.059518748405747814
overall,Chelonia_mydas_IUCN,17198,860,0.0500058146296081
overall,Dermochelys_coriacea_IUCN,21133,1298,0.06142052713765201
overall,Eretmochelys_imbricata_IUCN,27998,1400,0.05000357168369169
overall,Lepidochelys_olivacea_IUCN,4105,272,0.06626065773447015
overall,SKP,2990,143,0.04782608695652174
overall,SWO,5912,283,0.047868741542625166
overall,YFT,3835,181,0.04719687092568448
