summary,feature,total_amount,absolute_held,relative_held
overall,ALB,1828,1045,0.5716630196936543
overall,Caretta_caretta_IUCN,8671,5203,0.6000461307807634
overall,Chelonia_mydas_IUCN,6868,4121,0.6000291205591147
overall,Dermochelys_coriacea_IUCN,7731,4639,0.6000517397490622
overall,Eretmochelys_imbricata_IUCN,10052,6032,0.6000795861520095
overall,Lepidochelys_olivacea_IUCN,1489,894,0.6004029550033579
overall,SKP,1164,782,0.6718213058419243
overall,SWO,2526,1850,0.7323832145684878
overall,YFT,1474,1101,0.7469470827679783
