summary,feature,total_amount,absolute_held,relative_held
overall,ALB,1922,1096,0.5702393340270552
overall,Caretta_caretta_IUCN,9143,5486,0.6000218746582084
overall,Chelonia_mydas_IUCN,7100,4260,0.6
overall,Dermochelys_coriacea_IUCN,7792,4676,0.6001026694045175
overall,Eretmochelys_imbricata_IUCN,10529,6318,0.6000569854687055
overall,Lepidochelys_olivacea_IUCN,1639,984,0.600366076876144
overall,SKP,1291,782,0.6057319907048799
overall,SWO,2621,1813,0.6917207172834796
overall,YFT,1628,1160,0.7125307125307125
