summary,feature,total_amount,absolute_held,relative_held
overall,ALB,4389,583,0.13283208020050125
overall,Caretta_caretta_IUCN,23522,3529,0.15002975937420288
overall,Chelonia_mydas_IUCN,17198,2580,0.1500174438888243
overall,Dermochelys_coriacea_IUCN,21133,3170,0.15000236596791747
overall,Eretmochelys_imbricata_IUCN,27998,4200,0.15001071505107508
overall,Lepidochelys_olivacea_IUCN,4105,616,0.15006090133982947
overall,SKP,2990,414,0.13846153846153847
overall,SWO,5912,949,0.1605209742895805
overall,YFT,3835,616,0.160625814863103
