summary,feature,total_amount,absolute_held,relative_held
overall,ALB,4389,867,0.1975393028024607
overall,Caretta_caretta_IUCN,23522,5293,0.2250233823654451
overall,Chelonia_mydas_IUCN,17198,3870,0.22502616583323642
overall,Dermochelys_coriacea_IUCN,21133,4755,0.22500354895187621
overall,Eretmochelys_imbricata_IUCN,27998,6300,0.2250160725766126
overall,Lepidochelys_olivacea_IUCN,4105,924,0.22509135200974423
overall,SKP,2990,617,0.20635451505016722
overall,SWO,5912,1487,0.25152232746955344
overall,YFT,3835,1055,0.27509778357235987
