summary,feature,total_amount,absolute_held,relative_held
overall,ALB,1486,574,0.38627187079407804
overall,Caretta_caretta_IUCN,7408,2964,0.40010799136069114
overall,Chelonia_mydas_IUCN,4882,1953,0.40004096681687834
overall,Dermochelys_coriacea_IUCN,6455,2582,0.4
overall,Eretmochelys_imbricata_IUCN,8596,3439,0.4000697999069335
overall,Lepidochelys_olivacea_IUCN,1336,535,0.4004491017964072
overall,SKP,897,352,0.39241917502787066
overall,SWO,1660,681,0.4102409638554217
overall,YFT,1464,566,0.3866120218579235
